Alert,Description,Date
William Floyd Estate,The Old Mastic House is closed for renovations until further notice.,2022-12-05 15:25:39.0
Annual Dipsea Trail Detour Over Redwood Creek in Effect,The annual Dipsea closure over Redwood Creek is in effect between the auxiliary Muir Woods parking lot and connection with the Deer Park Fire Road. Continue down Muir Woods road for .5 miles to the Deer Park Fire Road on the right. This is a 1 mile detour,2022-12-02 17:01:08.0
Municipal Pier at Aquatic Park is closed due to safety concerns.,"Municipal Pier is closed permanently. After a safety review with the U.S. Public Health Service, it was determined that the deterioration of Municipal Pier in Aquatic Park Cove is unsafe for public use.",2022-12-02 17:00:45.0
Devil's Hall is a Strenuous Hike,The hike to Devil's Hall is rated as strenuous. The portion of the route in the wash requires rock scrambling and is dangerous when wet or if water is present. The wash surface is loose gravel and rocks and may be unstable.,2022-12-02 13:09:34.0
"Closure of recreational fishing in the Queets, Salmon, and Quinault Rivers","Due to significant and ongoing conservation concerns, the Queets, Salmon, and Quinault Rivers will be closed to recreational fishing until June 1, 2023.",2022-12-01 18:26:48.0
Seasonal Park Operations: October - April,"The Visitor Center and Park Store are open Thursday - Monday, CLOSED Tuesday and Wednesday. Outside attractions remain open to the public.",2022-12-01 15:33:37.0
Grove of the Patriarchs closed to all public entry until further notice.,"Grove of the Patriarchs is closed to all public entry effective November 2021, and until further notice, due to significant damage from flooding.",2022-12-01 14:31:19.0
Winter Closures,"The access road to Telescope Peak trailhead is closed beyond the Charcoal Kilns, due to snowy conditions. Many other roads remain closed due to damage and debris from major flooding this summer. Click 'more' for a map and detailed information.",2022-11-30 19:15:18.0
Winter Road Closures,Park Central Road will be closed at various times throughout the winter due to inclement weather. Manahan (gravel) Road and Park Central Road (west of Manahan Road) will remain closed for the winter. Call the visitor center for updates 301-663-9388.,2022-11-30 13:11:05.0
Current Detour on the Natchez Trace Parkway,"Follow orange detour signs. Parkway is closed between south of Colbert Ferry, AL (mp 326) and Tishomingo State Park, MS (mp 303). There may be one-lane closures on the TN River John Coffee Memorial Bridge. Click ""more"" below for map. Bike camp is open.",2022-11-30 11:37:58.0
Construction closure of Sea Camp Campground Bathhouse,The park is updating the bathhouse at Sea Camp Campground. Temporary bathrooms and showers have been installed. A portion of the trail will be closed and re-routed. All visitors must follow posted detour signs. Walk bicycles through campground loop.,2022-11-30 10:22:00.0
COVID-19 Masking Guidance,"The park continues to monitor the CDC's community level for COVID-19. When that level is at HIGH, masks will be required in the visitor center.",2022-11-30 10:15:29.0
COVID-19 Masking Guidance,"The park continues to monitor the CDC's community level for COVID-19. When that level is at HIGH, masks will be required in the visitor center.",2022-11-30 10:14:04.0
COVID-19 Masking Advisory,"The park continues to monitor the CDC's community level for COVID-19. When that level is at HIGH, masks will be required in the visitor center.",2022-11-29 16:26:37.0
Longmire to Paradise 2022-23 Winter Road Access Closure Mondays-Fridays,"The winter of 2022-23, public access to Paradise is limited to Saturdays and Sundays, weather/staff/equipment dependent. Due to staffing shortages the park does not have the capacity to maintain public access 7 day/week.",2022-11-29 14:49:50.0
Winter Weather,"Due to snowfall and winter weather park roads, trails, walkways, cave entrances and parking areas may be icy and have snow covering them. Please travel carefully and watch your footing when hiking or caving.",2022-11-29 14:19:16.0
Do Not Feed or Touch Wildlife,Wildlife accustomed to being fed will become aggressive to obtain food. This includes coyote and fox. There have been serious incidents involving bites to people and pets. Report injured or deceased wildlife to park staff. Never touch injured wildlife.,2022-11-29 11:34:50.0
Park Unit Closures and Reopenings,"The Prairie Acadian Cultural Center in Eunice is closed. However, this site does have some outdoor programs. See the Calendar for event information. Some trails at the Barataria Preserve remain closed. Click ""more"" below for further information.",2022-11-28 14:11:04.0
Sandy Hook Lighthouse Closed Until Spring 2023,The Sandy Hook Lighthouse will be closed to tours until Spring of 2023.,2022-11-28 07:33:10.0
Backcountry and Trail Closures Due to Flood Damage,"The backcountry & the following trails are closed: Slaughter & Yucca Canyon & access roads, Guadalupe Ridge (visitor center to west park boundary), Rattlesnake Canyon, Juniper Ridge, Ussery, & Double Canyon. Cavern trails & the Old Guano Trail are open.",2022-11-27 14:59:35.0
Walnut Canyon Desert Drive Closed Due to Flood Damage,Recent flooding has caused major damage to the road. It is unknown at this time when repairs will begin or the length of time to complete. The main park road to the visitor center and cavern is open.,2022-11-27 14:59:24.0
Kenilworth Park Road Repairs and Turf Restoration,"Over the next 4 months, road repairs will be made to the Deane Ave. extension through Kenilworth Park. The park will install temporary fencing, and regrading and re-seeding of the adjacent turf areas will be accomplished. Re-seeding will occur Spring 2023",2022-11-25 07:46:55.0
Steel Visitor Center is Closed for Construction,The visitor center at park headquarters is currently closed for a major rehabilitation project. Restrooms are available at Rim Village and Goodbye Picnic Area.,2022-11-23 15:37:24.0
January 2023 - April 2023,"The Eleanor Roosevelt NHS (Val-Kill) will close for the Winter. The grounds will remain open every day. We will re-open in the Spring of 2023, date TBD.",2022-11-23 13:10:33.0
Reduced Speed Limit on North Parkway,The speed limit on the northern section of the parkway has been reduced to 40 MPH in the work zone during the rehabilitation project. Click the link to sign up for updates on the project.,2022-11-23 09:28:24.0
Major Construction Project has Begun at the Fall River Entrance to Rocky Mountain National Park,Fall River Entrance to RMNP is under construction. One lane is open to enter. Visitors are encouraged to avoid the Fall River Entrance and use the Beaver Meadows Entrance via U.S. Hwy 36. Expect wait times at both major east side entrances to RMNP.,2022-11-22 17:07:58.0
Check Twitter for updates on current conditions; roads/facilities may close due to adverse weather,Roads and facilities in the park may close at any time. Always check MountRainierNPS on Twitter for updates before coming to the park (account not required to view though may need to refresh browser if prompted for a login.),2022-11-22 14:08:08.0
"All Tickets are First-Come, First Served; We Cannot Take Reservations","All tickets to the Truman Home and the Truman Farm Home are first-come, first-served. At this time, we are unable to take any reservations for groups.",2022-11-20 08:33:52.0
Lassen Volcanic Highway Closes to Through Traffic for Winter Season.,The Lassen National Park Highway is closed for the winter/spring season. Access is limited to one mile from the northwest entrance to the Loomis Plaza and the southwest entrance to the Kohm Yah-mah-nee Visitor Center.,2022-11-18 18:46:30.0
Checking Winter Road Conditions Prior to Visit,"Heading to John Day Fossil Beds soon and want to know what the road conditions are or if winter tires/chains restrictions are enforced? Check various highway cameras across Oregon on TripCheck.com, run by Oregon Dept. of Transportation.",2022-11-17 17:18:50.0
Vehicle Break-Ins: Take precautions to secure your vehicle and valuables.,This is an urban park. Don't hide valuables inside your car. Carry items with you on hike. Lock your vehicle and set car alarm. Recent auto break-ins at Rinconada Canyon parking lot. Report suspicious persons loitering/peeking in cars. Call 928-638-7805,2022-11-17 11:57:37.0
Restrooms during Temporary Closures,"During the temporary closures of the Visitor Center, Theater, History Museum, and Technology Museum, there will be no public access to heated bathrooms or running water. Portable toilets will be available outside.",2022-11-17 08:42:18.0
Oversnow Camping off-limits,"Oversnow camping is off-limits at the Southwest Campground due to present Dixie fire hazards. Self-contained camping is still allowed in the Southwest parking area, Fees apply, No tents.",2022-11-16 19:23:42.0
Reservations Required to Enter Carlsbad Cavern,"RESERVATIONS REQUIRED to enter cavern and must be purchased by clicking ""more"" or calling 877-444-6777. No reservations available at the park. Reservations only select the entry time. Upon arrival at the visitor center, entrance tickets must be purchased.",2022-11-16 13:38:50.0
Backcountry vehicle route closed for the season,The full backcountry vehicle route is closed for the winter season. Backcountry vehicle access is now limited to the Cabin District.,2022-11-15 16:19:16.0
Other Closures,"All the park's drive-in campgrounds are closed for the season. All vault toilets in the park have been shut down, except at Sand Point and Grand Sable Visitor Center parking lot. Flush toilet at Munising Falls remains open.",2022-11-15 13:58:55.0
Minidoka Visitor Center Closed for the Season,The Minidoka Visitor Center is closed until Summer 2023. Self-guided walking trails remain open daily. Brochures and passport stamps are available outside the visitor center at the After Hours box. Restrooms are unavailable.,2022-11-11 11:56:41.0
Face masks are not required.,"Community transmission level is currently at LOW or MEDIUM: Mask wearing is optional for staff, visitors, or others, regardless of vaccination status.",2022-11-11 10:06:52.0
Rim Drive and North Entrance Road Closed for the Season,"The park has closed Rim Drive, North Entrance and Pinnacles Roads for the winter season. Please be prepared for winter driving conditions.",2022-11-09 16:56:15.0
Road Closures Due to Weather Conditions,Weather and road conditions can vary greatly in different elevations. Go to https://twitter.com/smokiesroadsnps for the latest road and facility closures.,2022-11-09 09:55:31.0
CLOSED: Walkway to Steamtown Mall,The walkway between Steamtown NHS and the Marketplace at Steamtown Mall has closed for the season. There is now NO pedestrian access to Steamtown NHS.,2022-11-08 14:59:06.0
State Route 20 Closed for the Winter,"State Route 20 is closed at milepost 134 (Ross Dam Trailhead) for the season. Visitors can access the closed portion of the highway during the winter season. Park in designated parking areas, do not block the gate.",2022-11-08 14:34:09.0
Scenic Drive Closed,"The Scenic Drive is closed for the winter season. The visitor center is accessible and open Mondays-Saturdays 8-4:30, excluding holidays.",2022-11-07 15:57:30.0
Visitor Center Hours,"The Visitor Center area is open from 9am until 4:30pm. The Visitor Center, Petrified Forest loop, Ponderosa loop, and parking lot close promptly at 4:30pm. Remaining vehicles subject to $180 fine.",2022-11-05 14:39:46.0
COVID-19 Response,Masks are optional for all individuals.,2022-11-04 14:23:52.0
Cascade River Road Emergency Closure MP6,Cascade River Road is closed at milepost 6 (USFS boundary) due to a rockslide.,2022-11-03 09:52:45.0
Cascade River Road Closed for the Season,"Cascade River Road is closed for the winter season at milepost 20 (Eldorado), three miles before the trailhead. Do not block the road and gate when parking.",2022-11-03 09:46:12.0
Fall/Winter changes,"As of October 31, 2022, visitation inside the forts will be suspended until the spring of 2023. Check this site for future changes",2022-11-02 15:11:01.0
"Weir House, Weir Studio, Young Studio, Visitor Center, and Restrooms Closed","Please note starting November 1st all park buildings are closed for the season. Park grounds are open daily year-round and maps, brochures, and passport stamp are available in the parking lot kiosk. Restrooms are not available during the off-season.",2022-11-01 15:41:31.0
Island Closed from November 1 through April 15 Annually,"From November 1 - April 15 annually, Isle Royale and its surrounding islands are closed to all visitors. Lake Superior waters are open to boaters. All islands reopen April 16. Call (906) 482-0984 to discuss trip planning, obtain permits, or pay fees.",2022-11-01 13:29:39.0
Center grass panel fenced off for over-seeding at Lincoln Park,The National Park Service is improving grassy areas at Lincoln Park by aerating the soil and over-seeding the center grass panel. Fencing has been erected until the seeding has taken in the center panel.,2022-10-31 14:45:57.0
Rideshare services should be used with caution if visiting the West side (Tucson Mountain District),"Rideshare services will drop visitors off at the park, but usually will not pick them back up. To avoid being stranded in the park, coordinate two-way trips before using rideshares to visit the West side. No major trails start at the visitor center.",2022-10-31 12:45:25.0
"Martin Van Buren NHS Visitor Center and Historic House Will Close for the Season on November 6, 2022","The visitor center and Lindenwald, the historic house, will close for the season on November 6, 2022. The grounds are available for people to walk the trails and read the informational panels. No services will be available for the public.",2022-10-31 07:33:22.0
Faraway Ranch House Closure,The Faraway Ranch Historic House is currently closed for restoration. No tours are being offered at this time.,2022-10-30 17:27:16.0
"Jumonville Glen, Mount Washington Tavern, and CCC Picnic Area Closed for Winter","Jumonville Glen, Mount Washington Tavern, and the CCC Picnic Area Road are closed November 1st, 2022 through April 30th, 2023. The gates and buildings in these areas will be closed to the public and vehicle access for the Winter season.",2022-10-29 09:11:11.0
Restroom Locations that Remain Open for Fall and Winter,"The following locations have restrooms available during the fall and winter seasons: Glenwood Dunes, Bailly contact, Lake View, Tremont, Mount Baldy, and West Beach contact restrooms remain open all year.",2022-10-28 12:23:00.0
Help Prevent Invasive Mussel Infestation,"A number of lakes, including some close to Amistad, are infested with aquatic invasive species that damage natural ecosystems and waterways. Boaters are advised to Clean, Drain, and Dry all boats and equipment every time. Click more to learn how to help.",2022-10-28 11:36:31.0
Katahdin Loop and North Entrance Roads Closed to Motorized Vehicles 11/1/22,"As of November 1, 2022, the Katahdin Loop and North Entrance Roads will close to motorized vehicle traffic for the winter season. Access by foot and bicycle is permitted.",2022-10-28 10:47:37.0
Tours of the Truman Farm Home have Concluded for 2022,"Ranger-guided tours of the Farm Home have concluded for the season. Grounds of the Truman Farm are open daily sunrise to sunset, with a cell phone tour available on the new NPS app. We'll be back next spring!",2022-10-28 09:33:35.0
Pet Policy,"Pets are not allowed inside the visitor center at Aztec Ruins, nor are they allowed on the archaeological trail through Aztec West. Pets are welcome in the parking lot, the picnic area, and along the Old Spanish Trail. Service animals are the exception.",2022-10-27 17:38:35.0
Temporary Closure of Trail in Bowmans Island Unit,The trail between markers BI 3 & BI 20 will be closed due to construction on foot bridges. Trail connectivity will be available through the local connector between markers BI 15 & BI 25. This closure will begin October 24 and last until further notice.,2022-10-27 15:54:19.0
Trail and Camp Closures Due to Fire Activity,For closures due to fire activity visit the Fire Closures page.,2022-10-27 09:56:12.0
Last Day of 2022 Season,Last day of the 2022 is October 17th. We will reopen on May 20th 2023.,2022-10-27 09:38:14.0
All Lava Tube Caves Closed November 1st Through April 30th,All park lava tube caves are closed for the winter from November 1st through April 30th to protect hibernating bats. This closure does not affect the Junction Bridge Cave at the start of El Calderon Trail.,2022-10-26 11:56:27.0
Dangling Rope Marina Closed Until Further Notice,"Due to significant wind damage and low water conditions, Dangling Rope Marina is closed until further notice. The damaged docks are not safe for visitors or employees.",2022-10-25 12:28:01.0
Hite fuel and convenience store closed until further notice,"Hite retail store, pay-at-the-pump fuel service, the visitor comfort station, and designated camping areas will be closed. Public restrooms at the Hite Ranger Station, fresh drinking water spigot and RV dump are open. Plan your fuel use ahead.",2022-10-25 12:27:18.0
Trail Ridge Road is closed to through traffic for the season,Trail Ridge Road is currently closed at Many Parks Curve on the east side of RMNP and at the Colorado River Trailhead on the west side.,2022-10-24 19:35:22.0
No Water Available at Black Canyon,"Temperatures are now well below freezing, so all water at the park has been turned off for the winter. Make sure to bring drinking water and any other water needs.",2022-10-24 18:32:47.0
Campground Closure,"A and C loops in the South Rim Campground are closed for the season. B loop is open, and electricity is on. All water is turned off for the winter.",2022-10-24 18:31:26.0
Tour Stop 6 Closure - Wilkinson Trail Detour,The tour road improvement project has reached Stop 6! Sections of the Wilkinson Trail in that area are closed to pedestrians. Please follow detour signs around Tour Stop 6 via the horse trail (See Map). Please observe any closed areas and do not enter.,2022-10-24 13:07:31.0
Alibates Quarries Tours will be offered by appointment only during the off-season,"During the off-season, Alibates Quarries Tours will be offered by appointment only due to limited staff. Please call 806-857-6680 for reservations.",2022-10-24 10:49:20.0
Alibates Quarries Tours will be offered by appointment only during the off-season,"During the off-season, Alibates Quarries Tours will be offered by appointment only due to limited staff. Please call 806-857-6680 to make a reservation.",2022-10-24 10:47:27.0
Miners Beach Staircase Closed,"The main staircase at Miners Beach (closest to the west end parking lot) was damaged in the 10/18/22 storm and is not usable. There are two other staircases leading down to the beach, at the east and west ends of the beach.",2022-10-24 08:33:23.0
Potable water only at Lehman Caves Visitor Center,"Potable water is no longer available at campgrounds, picnic areas, the dump station, or bottle fill stations throughout the park. Potable water can only be found at a spigot on the North side of the Lehman Caves Visitor Center through the winter.",2022-10-21 11:44:12.0
Masks Not Required,Masks are currently not required as Custer County is at a low transmission level for COVID-19.,2022-10-20 17:51:02.0
Walking Bridge Over the Falls CLOSED,"Due to safety concerns the footbridge crossing the Passaic River is indefinitely closed, pending replacement. To access Mary Ellen Kramer Park, foot traffic may use the Wayne Ave. Bridge & Maple St. - parking on Maple St. is limited due to construction.",2022-10-20 15:53:45.0
Lincoln Memorial elevator out of order,The elevator from the ground level to the chamber of the Lincoln Memorial is currently out of order. We are working to get it repaired as quickly as possible and apologize for the inconvenience. (10/12/22),2022-10-19 12:50:21.0
Park in Progress,"Blackwell School NHS is working toward establishment and is not yet an official park. Visitor services are very limited. For more information on how to visit, please visit our FAQ page.",2022-10-18 17:17:32.0
Big Cypress National Preserve Open,Big Cypress National Preserve has fully reopened following Hurricane Ian.,2022-10-17 08:27:26.0
Heavy Construction Vehicle Operations & Limited Amphitheater Accessibility,Heavy construction vehicles are operating through the parking lot & Lower Overlook Park - use caution & be vigilant for hazards. Lower Overlook & Amphitheater access is via stairs only for construction duration.,2022-10-12 13:59:37.0
Water Off in the Campground,The water in the campground has been shut off for the season due to freezing nighttime temperatures. The campground comfort stations are also closed. Vault toilets in the campground are still available.,2022-10-12 11:33:05.0
Johnson Ferry North Trail Closure,"The Colonial Pipeline Company will begin work in the Johnson Ferry North unit on October 17,2022. Construction activities will close the utility road and one section of the river trail. All other trails will remain open. Directional signs will be posted.",2022-10-11 17:33:48.0
MD - Construction Closure of Life of the Forest and Marsh Trails,"Beginning Wed. Oct 12, 2022 the Life of the Marsh Trail & Life of the Forest Trail will be closed for construction. The closure will affect both the nature trail & parking in each area. Trails & parking lots will be closed to vehicles, bikes & pedestrians",2022-10-11 15:04:02.0
Dangling Rope Marina Closed Indefinitely,"Due to significant wind damage and low water conditions, Dangling Rope Marina will not reopen in the immediate future. The damaged docks are not safe for visitors or employees. There is no estimated date for reopening.",2022-10-11 13:37:39.0
No Dock Access to Rainbow Bridge,"The docks/restroom are now upstream, not connected to the Rainbow Bridge trail shoreline. Small vessels can beach at the shoreline at your own risk. Expect quicksand and/or scrambling. Take sufficient fuel for your vessel to get there and back.",2022-10-11 13:33:42.0
Birthplace Unit Open Daily!,The Birthplace Visitors Center is open daily 9:00am to 5pm (ET) and the Memorial Building is open daily from 9:00am to 4:30pm (ET) Please be sure to ask about the Jr. Ranger Program for kids!,2022-10-11 11:11:05.0
Oakland Main House Self-Guided Tours,The interior of the Oakland Main House is ONLY open to the public on weekends from 10 a.m. to 2 p.m. All tours of the house are self-guided and occupancy within the building is limited. Please plan accordingly.,2022-10-08 14:52:46.0
Winter Hours,"Hopewell Furnace roads, visitor center and historic village are open Wednesday through Sunday from 9:00am to 5:00pm and closed Monday and Tuesday from October 17, 2022 until Memorial Day Monday May 29, 2023.",2022-10-08 11:39:01.0
Theodore Roosevelt Birthplace Reopens to the Public,"On Wednesday, 9/7/2022, Theodore Roosevelt Birthplace reopens for public viewing with a modified tour schedule. In observance of COVID protocol, visitors are asked to wear masks and observe social distancing when required.",2022-10-07 13:28:00.0
Camp only in campgrounds,"If you camp in a vehicle in an area that is not a designated campground, you may get a citation. Learn more about opportunities to camp in Zion.",2022-10-05 12:46:27.0
Visitor Center Reopens for Holiday Weekend,"The Saint Croix Island IHS visitor center will reopen Fri Oct 7 through Mon Oct 10 for the Indigenous People's Day holiday weekend. Then on Tue Oct 11, the site will close for the season as scheduled.",2022-10-05 09:30:10.0
Visitor Center Closed for Winter Season,The Tule Lake National Monument Visitor Center is closed for the winter season. Tours can be requested 2 weeks in advance by calling (530) 260 0537. For more info on how to experience the Monument please click below.,2022-10-04 19:57:22.0
Winter Season Changes for Campgrounds,"Starting October 3, 2022, water will be shut off for the winter season. South Loop of Cottonwood Campground is closed for the season, but the remaining sites in the North Loop and the entirety of Juniper Campground remain open with winter rates.",2022-10-02 12:27:27.0
Ferry Schedule,The ferry service to the fort is closed on Monday & Tuesday. Trips to Fort Matanzas are operating Wednesday-Sunday only. Boarding passes are required. However the visitor center and surrounding grounds remain open seven days a week.,2022-10-01 15:57:04.0
Gallatin House Winter Hours,"The Gallatin Houses is open Saturdays and Sundays only, 9 a.m. - 5 p.m. October through April. Park grounds and trails remain open daily from sunrise to sunset.",2022-09-30 14:08:23.0
Ongoing work on Lower Town buildings,Facilities staff are doing repair work on several buildings in Lower Town. Please follow signs for alternate entrances and heed temporary closures.,2022-09-30 08:47:43.0
Visitor Centers are Closed for the Season,"All park visitor centers have closed for the season. This includes the Houghton, Rock Harbor, & Windigo Visitor Centers. For trip planning assistance, contact the park at 906-482-0984.",2022-09-29 12:26:25.0
"Great Falls Visitor Center, Some Turkey Run Parking Areas Closed for Construction","The Visitor Center at Great Falls Park, Parking Lot C-2 and some of Parking Lot B at Turkey Run Park are temporarily closed for construction.",2022-09-26 13:47:29.0
Face masks are optional,"As of September 24, 2022 masks are optional in park buildings.",2022-09-25 11:05:31.0
Visitor Center Closed for Repairs,The Visitor Center is currently closed for structural repairs.,2022-09-22 15:23:59.0
Jacob Riis Park Bays 3-5 closed to beach access,Jacob Riis Park Bays 3-5:Closed to beach access due to unsafe conditions from severe erosion.,2022-09-22 14:11:03.0
Intermittent Maple St. Closure/Vehicle Access Reduction,"City construction requires short-notice, frequent closure of Maple St. projected through August. Vehicle access to Mary Ellen Kramer Park/Waterfall Overlook is limited.",2022-09-22 08:58:44.0
Kalawao County Restrictions,Kalawao County is closed to the general public and commercial tours (per authority under HRS 326) in alignment with CDC and Hawaii State Department of Health guidance until further notice.,2022-09-21 21:37:38.0
Landing at Hwy 137,The highway 137 bridge landing sustained flood damage in 2019 and the landing restoration by NDOT has been completed. The area is smaller than in the past and the access to the water is steeper. Use caution when accessing the landing,2022-09-20 13:15:16.0
COVID-19 Mask Requirement,"In accordance with CDC protocols, in medium COVID-19 community level areas, masks are optional, and you are welcome to wear a mask if it makes you more comfortable. Additional Details are available at www.nps.gov/coronavirus  ",2022-09-20 13:12:43.0
Parkway Closed Near Roanoke Due to Slope Failure,The Parkway is closed to all uses from Milepost 121.4 (U.S. 220) to Milepost 135.9 (Adney Gap) due to a full road failure caused by heavy rains. Visit the associated news release for more information and a detailed detour map by clicking this alert,2022-09-20 12:38:26.0
Ranger Talks Temporarily Resumed,Ranger talks at Sand Creek Massacre NHS have resumed. The site is open Thursday - Monday from 9am to 4pm and talk take place at 10am and 2pm.,2022-09-19 17:11:08.0
Park Operations Altered Due to Pretty Rocks Landslide,Summer access to facilities and services in Denali remains altered due to the Pretty Rocks Landslide and the associated closure of the Park Road at Mile 43. Check here for more information on what to expect.,2022-09-19 14:11:22.0
Face Masks Optional,"The NPS face mask guidance is based on the CDC’s COVID-19 Community Levels tool. Face masks are currently optional at Chattahoochee River National Recreation Area, however you are welcome to wear a mask if it makes you more comfortable.",2022-09-19 13:13:32.0
Closure for Tropical Storm Fiona,"In anticipation of Tropical Storm Fiona, the park will be closed on Saturday, September 17.",2022-09-16 15:43:39.0
COVID-19 Masking Advisory,"When COVID-19 CDC Community Levels are high in Flathead or Glacier County, mask wearing is required for all people when entering federal buildings, regardless of vaccination status.",2022-09-12 11:22:24.0
COVID-19 Mask Requirement: OPTIONAL,"Consistent with CDC guidance, in areas of substantial or high transmission, visitors to Cumberland Island National Seashore, regardless of vaccination status, are required to wear a mask inside all park buildings. CURRENT STATUS: OPTIONAL",2022-09-12 08:39:17.0
Mask Status in Park Buildings – MASKS OPTIONAL - starting September 9,"Consistent with CDC guidance, face coverings are not required in federal buildings at Low or Medium COVID rates. During High COVID rates masks will be required.",2022-09-10 14:32:29.0
Park Operating Hours,Fort Union National Monument is currently operating on its winter schedule. The park is open seven days a week from 8 am - 4 pm.,2022-09-10 09:45:45.0
Reduced cold-water flow at the Serpentine Hot Springs bathhouse,"Cold water brought in via a pipe helps reduce the temperature of the water in the tub. With the reduced flow, temperatures in the tub are dangerously hot.",2022-09-09 17:15:47.0
Masks no longer required at Pearl Harbor National Memorial,Masks will no longer be requiring in any of our buildings or locations at Pearl Harbor National Memorial. This alert will be updated again as needed.,2022-09-08 15:57:31.0
Black Bears at Big South Fork,"Black bears call Big South Fork NRRA home. Help keep them healthy and safe by storing all food, cooking items, feed, cosmetics and coolers properly stored when at campgrounds or in the backcountry.",2022-09-08 11:26:50.0
East Fork Quinault Trail Closed to Stock,"Due to repairs on the Pony Bridge, it will be impassable to stock. The trail will be closed to stock from September 14, 2022 until repairs are completed in the spring. Hikers will still be able to pass until the final stage of repairs.",2022-09-07 17:37:39.0
Boater Awareness,Please use caution in park waters due to navigational markers that may be missing or moved due to unforeseen circumstances.,2022-09-07 17:29:16.0
Water Hazards Still Present,"Despite increasing water levels, underwater hazards are still present in the lake. Please be extra vigilant for potential damage to boat or other injury.",2022-09-06 15:21:13.0
"Plains High School Visitor Center and Museum, Jimmy Carter Boyhood Farm, and Plains Depot are open.","Due to decreased levels of transmission, the CDC has recently lowered the COVID-19 Community Levels for Sumter County to “Low”. Masks are not required in NPS buildings.",2022-09-03 13:35:06.0
No dock access to Rainbow Bridge Trail,"No dock access to the shoreline at Rainbow Bridge due to low water. Boats and small vessels beach at your own risk. Houseboats are too large to navigate the canyon. There are no services on the dock, which has been moved out of the way.",2022-09-02 14:41:21.0
Newton B Drury Scenic Parkway: Hike and Bike Events,"On the first Saturday of each winter month (Oct to May), the Scenic Parkway becomes a family (and pets-on-leash) friendly hike and bike experience. Parkway will be closed to motorized vehicles on Friday nights and will reopen Sunday mornings.",2022-09-02 14:08:41.0
Your GPS Is Wrong,"DO NOT use ""Bald Hills Road"" or ""Tall Trees Grove"" to drive to Redwood National Park. Most digital maps and apps (yes, including the one you love) do not have accurate information in this area. Our website/mobile app has good directions to get here.",2022-09-02 14:06:02.0
Face masks required indoors in high COVID transmission counties,"The park spans Cuyahoga and Summit Counties in Ohio. If county transmission levels are high, masks are required inside Canal Exploration Center (Cuyahoga County), and/or Boston Mill Visitor Center (Summit County).",2022-09-01 13:34:56.0
Phase 3 of Cayuse Cove Stabilization Project begins 09/07/2022,Beginning 09/07/2022 until the Memorial Day weekend the gravel parking lot and part of the paved boat launch at Porcupine Bay will be closed. Bureau of Reclamation is using these areas to load materials for a stabilization project upstream.,2022-08-31 17:28:00.0
"Temporary Closure of Chubb Hollow, including pavilion, group sites and trail access","A temporary closure of the Chubb Hollow area, including pavilion, group camping sites and trail access is in effect. This closure is due to renovation of the area in conjunction with the Big Spring Lodge and Cabins project.",2022-08-30 15:04:46.0
"Mask update as of August 29, 2022",COVID-19 Mask Requirement Consistent with CDC guidance NYC is considered medium risk. Masks are optional inside buildings,2022-08-29 08:14:51.0
Riprap Boundary Access Closure,Public access to the Riprap trail system at the park boundary via Wild Turkey Lane is no longer available due to private landowner concerns. Please use Skyline Drive to access this trail system.,2022-08-26 10:39:57.0
Gachado Line Camp open. Southeast border road and access roads closed,El Camino De Dos Republicas remains open from SR85 to Gachado Line Camp. Dos Lomitas is not accessible. The southeast border road from Lukeville Port of Entry eastward to the Santa Rosa Mountains is closed to public vehicle and pedestrian traffic.,2022-08-24 14:37:51.0
"Road Work on South Puerto Blanco, Pozo Nuevo and Bates Well Roads via Darby Well.","Road crews with heavy equipment will be working on the South Puerto Blanco to Pozo Road then north to Bates Well Road via Darby Well Road. Use caution, drive slow, and follow instructions from road crews when directed to pass.",2022-08-24 14:24:06.0
COVID-19: Face Masks Optional,"Consistent with CDC community level guidance, face masks are currently optional for visitors to Carlsbad Caverns National Park inside all park buildings and the cavern. Please check this site before visiting due to possible community level changes.",2022-08-24 14:02:45.0
"Masks are OPTIONAL for visitors - as of August 23, 2022","Visitors have the option to wear a mask inside of all park buildings, effective August 23rd, 2022.",2022-08-23 10:46:09.0
Masks optional in response to COVID-19 pandemic,"Due to a ""LOW"" COVID-19 Community Level, masks are optional for everyone in all Mount Rainier National Park buildings, regardless of vaccination status.",2022-08-19 11:19:16.0
Louisiana Circle Closed,Louisiana Circle is closed to vehicles and pedestrians due to slope instability. Navy Circle is open and also provides views of the Mississippi River.,2022-08-19 11:14:15.0
Road Closure at Amistad Acres,"Due to soil and vegetation damage caused by off-road vehicle travel near Amistad Acres, undesignated dirt loop roads in the area are closed to vehicle traffic until further notice. The area will remain open to foot traffic.",2022-08-17 12:21:34.0
COVID-19 Community Level: Low,"In Hawaii County, COVID-19 community level is Low. Wearing a face mask is optional. Thank you for helping to keep yourself and others safe and healthy.",2022-08-16 13:22:08.0
Equestrian Traffic Temporarily Prohibited Milepost 137.8-140.7,Horses are prohibited between MP 137.8 and Fifteen Mile Creek (MP 140.7) due to recent and ongoing towpath resurfacing. See more for details.,2022-08-16 09:20:05.0
COVID-19 Masking Advisory,"Larimer, Boulder, and Grand Counties continue to switch between High, Medium, and Low community transmission levels for COVID-19. Masks are advised for Beaver Meadows VC, Moraine Park Discovery Center, Fall River VC, Alpine VC, and shuttle buses.",2022-08-15 13:37:00.0
