Alert,parkCode,Description,Date,Park Name
Picnic Area Parking Lot Closed,gewa,The Picnic Area Road at George Washington Birthplace National Monument is closed for resurfacing. The Picnic Area remains open and can be accessed via the Nature Trail.,2023-03-14 15:38:33.0,George Washington Birthplace National Monument
Visitor Center Closed Monday and Tuesday,gewa,"The Visitor Center at George Washington Birthplace National Monument is closed on Mondays and Tuesdays. Park grounds are open daily 9:00 - 5:00 pm. On Mondays and Tuesdays, there are no tours of the Memorial House Museum.",2023-01-04 12:16:05.0,George Washington Birthplace National Monument
Old Courthouse Closed for Renovations,jeff,"The Old Courthouse at Gateway Arch National Park is undergoing renovations as part of the $380-million CityArchRiver project, which is the largest public-private partnership in the history of the National Park Service. It is closed to all visitors.",2023-03-14 13:01:16.0,Gateway Arch National Park
Phone system is down,vall,"Valles Caldera's phone system is currently down. For park information, please use vall_info@nps.gov or call 505-670-1612.",2023-03-14 10:37:39.0,Valles Caldera National Preserve
Backcountry vehicle route closed for the season,vall,The full backcountry vehicle route is closed for the winter season. Backcountry vehicle access is now limited to the Cabin District.,2022-11-15 16:19:16.0,Valles Caldera National Preserve
All natural and cultural resources are protected,vall,"The removal of any artifact, antler, obsidian, and other mineral or plant material is strictly prohibited.",2021-12-09 18:03:00.0,Valles Caldera National Preserve
The Old Ingraham Highway Trail is closed for construction (not Main Park Road or walking trails),ever,"Old Ingraham Hwy trail (not SR 9336) will be closed south of the Hidden Lake turnoff from Jan. 9-May 31 for construction related to the Taylor Slough Flow Improvements Project, which will partially restore historic water flow patterns in Taylor Slough.",2023-03-13 15:47:54.0,Everglades National Park
"For entrance fees, we accept digital passes and credit/debit cards",ever,Digital passes or credit/debit cards are the ONLY method of payment at all fee collection areas. Pre-paid digital passes are available online and may be purchased in advance.,2023-02-08 11:51:02.0,Everglades National Park
Road paving along Main Park Road - construction vehicles and altered traffic patterns,ever,"Watch out for workers, construction vehicles, and changes to the traffic patterns. Locations along the main park road and in Flamingo have paving work occurring in upcoming weeks.",2022-12-28 10:08:02.0,Everglades National Park
Gulf Coast area in Everglades City is open,ever,"Restrooms, parking and the canoe/kayak launch are available. Boat tours and rental reservations can be made online. Wilderness permits can be reserved online and picked up from the Nathaniel P. Reed Visitor Center in Big Cypress National Preserve.",2022-12-06 12:21:57.0,Everglades National Park
COVID-19,libi,"Big Horn County's transmission rate for COVID-19 is now medium. Masks are no longer required in the museum or bookstore, but masks will be provided to those who do not have one and wish one.",2023-03-10 16:47:38.0,Little Bighorn Battlefield National Monument
Limited Public Access Until April 21,yell,Most park roads are closed to public vehicle travel and services are limited. Check the current roads status before traveling to the park.,2023-03-09 16:41:56.0,Yellowstone National Park
Construction to Sidewalk,hagr,"03/09/2023 Construction to the sidewalk in front of The Grange is ongoing. Access to the site is not affected, but please use caution when entering the site.",2023-03-09 11:02:42.0,Hamilton Grange National Memorial
Hamilton Grange is open for limited hours,hagr,"Beginning 5/29/2022, access to Hamilton Grange National Memorial will be increased. Hours of operation are: Friday, Saturday, Sunday 10 am - 12 pm and 1 pm - 4 pm.",2023-03-09 10:54:28.0,Hamilton Grange National Memorial
Elevator Unavailable,hagr,"Due to repairs, the Hamilton Grange National Memorial elevator will be unavailable until further notice. Please contact hagr_info@nps.gov with questions.",2022-08-07 14:23:40.0,Hamilton Grange National Memorial
PRESCRIBED FIRE PLANNED FOR LAKE MEREDITH NATIONAL RECREATION AREA,lamr,"Fire managers plan to start prescribed burns beginning the week of March 6, 2023. Multiple prescribed burns are planned totaling approximately 2800 acres. Prescribed burning will occur at the North end of the park and expected to be completed by 5-31-23",2023-03-08 16:30:50.0,Lake Meredith National Recreation Area
Alibates Quarries Tours will be offered by appointment only during the off-season,lamr,"During the off-season, Alibates Quarries Tours will be offered by appointment only due to limited staff. Please call 806-857-6680 for reservations.",2022-10-24 10:49:20.0,Lake Meredith National Recreation Area
Temporary Blackland Prairie Trail Closure to Equestrians,natt,"Heavy rain has undermined a culvert making it unsafe for passage. Due to horse trailer parking availability, the entire section is closed to equestrians. Hikers are still able to travel from the railroad tracks to the Parkway Visitor Center.",2023-03-08 14:47:37.0,Natchez Trace National Scenic Trail
Yockanookany Trail Section Closed to Equestrians,natt,"The Yockanookany section of the Natchez Trace National Scenic Trail is closed to equestrian use effective immediately, due to safety concerns with trail bridges and boardwalks. The trail will remain open to pedestrians.",2019-10-26 11:08:59.0,Natchez Trace National Scenic Trail
Partial Closure of Rocky Springs Trail,natt,The Rocky Springs section is closed from the Rocky Springs campground at milepost 55 to the northern terminus at milepost 59 until further notice. Visitors should observe posted closures. The trail is unsafe due to trail erosion and deteriorated bridges.,2018-05-18 15:26:35.0,Natchez Trace National Scenic Trail
Hiking Advisory,natt,"Due to high winds and rainfall from thunderstorms, damaged trees have fallen across many sections of the National Scenic Trail. Caution is advised on all trails. Be aware of your surroundings while hiking and look for overhead limbs that may pose a hazard",2017-06-14 14:33:22.0,Natchez Trace National Scenic Trail
Hydrothermal Area Sidewalk Collapse,lavo,A portion of the sidewalk at Sulphur Works hydrothermal area has collapsed. Stay clear of the marked area downslope of the road. Proceed across road at your own risk.,2023-03-08 13:15:15.0,Lassen Volcanic National Park
Lassen Volcanic Highway Closes to Through Traffic for Winter Season.,lavo,The Lassen National Park Highway is closed for the winter/spring season. Access is limited to one mile from the northwest entrance to the Loomis Plaza and the southwest entrance to the Kohm Yah-mah-nee Visitor Center.,2022-11-18 18:46:30.0,Lassen Volcanic National Park
Oversnow Camping off-limits,lavo,"Oversnow camping is off-limits at the Southwest Campground due to present Dixie fire hazards. Self-contained camping is still allowed in the Southwest parking area, Fees apply, No tents.",2022-11-16 19:23:42.0,Lassen Volcanic National Park
Emergency Closures in Burned Areas,lavo,"Closures are in place for some facilities, infrastructure, and areas affected by the 2021 Dixie Fire. Please adhere to all closures indicated by CLOSED signs or described in emergency closure notices.",2022-05-27 23:38:39.0,Lassen Volcanic National Park
Be Aware of Burned Area Hazards,lavo,"Numerous hazards exist in areas affected by the 2021 Dixie Fire. Be prepared for falling/fallen trees or limbs, loose/falling rock, undefined/unmarked trails, and hidden stump holes. Click more to learn about burned area safety.",2022-05-27 16:24:25.0,Lassen Volcanic National Park
Mount Rainier National Park to move to cashless fee collection starting May 26,mora,"Beginning May 26, Mount Rainier National Park will accept only electronic card payments for entrance fees and campgrounds. Electronic payment reduces transaction times, saves money, and improves accountability.",2023-03-08 11:43:07.0,Mount Rainier National Park
Grove of the Patriarchs closed to all public entry until further notice.,mora,"Grove of the Patriarchs is closed to all public entry effective November 2021, and until further notice, due to significant damage from flooding.",2022-12-01 14:31:19.0,Mount Rainier National Park
Longmire to Paradise 2022-23 Winter Road Access Closure Mondays-Fridays,mora,"The winter of 2022-23, public access to Paradise is limited to Saturdays and Sundays, weather/staff/equipment dependent. Due to staffing shortages the park does not have the capacity to maintain public access 7 day/week.",2022-11-29 14:49:50.0,Mount Rainier National Park
Check Twitter for updates on current conditions; roads/facilities may close due to adverse weather,mora,Roads and facilities in the park may close at any time. Always check MountRainierNPS on Twitter for updates before coming to the park (account not required to view though may need to refresh browser if prompted for a login.),2022-11-22 14:08:08.0,Mount Rainier National Park
Masks optional in response to COVID-19 pandemic,mora,"Due to a ""LOW"" COVID-19 Community Level, masks are optional for everyone in all Mount Rainier National Park buildings, regardless of vaccination status.",2022-08-19 11:19:16.0,Mount Rainier National Park
All vehicles are required to carry tire chains when traveling in the park.,mora,"All vehicles, including 4WD and AWD vehicles, must carry tire chains in the park during the winter season (November 1 - May 1) and be prepared to use them when tire chain requirements are posted.",2017-11-01 10:52:18.0,Mount Rainier National Park
"Avalanche Danger Exists Within Paradise Valley, Exit Glacier Canyon and Toe of Exit Glacier",kefj,"Avalanche Danger Exists Within Paradise Valley, Exit Glacier Canyon and Toe of Exit Glacier. Recent Avalanches Have Occurred. Travel Into These Areas Is Not Recommended Without Avalanche Training, Transceiver, Probe, and Shovel",2023-03-07 17:26:10.0,Kenai Fjords National Park
Exit Glacier Developed Area open to Snowmachine use for winter 2022/23 season,kefj,"Kenai Fjords National Park opened the Exit Glacier Developed Area to off road snowmachine use on. Open areas include, the Exit Glacier Road, a designated route through the Exit Glacier campground to Exit Creek, and the Exit Glacier outwash plain.",2023-01-06 17:49:59.0,Kenai Fjords National Park
Road to Exit Glacier closed to automobiles for the winter,kefj,The road to Exit Glacier is now closed to automobile access at mile 1.3 of the Herman Leirer Road for the winter season.,2023-01-06 17:47:15.0,Kenai Fjords National Park
Canyon from Toe of Exit Glacier to the Outwash Plain,kefj,"The canyon from the toe of Exit Glacier to where Exit Creek opens into the Outwash Plain is susceptible to sudden outburst flood events. These events produce sudden surges of water, ice and rock. The canyon is dangerous and travel is not recommended.",2021-10-22 17:15:05.0,Kenai Fjords National Park
Abandoned Mines Hazard,kefj,"Abandoned mines exist on park lands. Explosives, mine openings, unsafe structures and toxic chemicals may be present. Visitors should use extreme caution and avoid abandoned mineral properties.",2021-06-14 16:06:28.0,Kenai Fjords National Park
"Toe of Exit Glacier, Ice Fall Hazard Zone",kefj,"An ice fall hazard zone has been identified at the toe and sides of Exit Glacier, due to tall blocks and slabs of ice. For your safety, entry into this zone is prohibited. Please do not continue past ice fall hazard signs and see photo for more details.",2017-10-12 11:49:10.0,Kenai Fjords National Park
"Visitor Center Hours Changing - March 12, 2023",mana,"Beginning on Sunday, 12 March, the Henry Hill Visitor Center will be open from 8:30am - 5:00pm",2023-03-07 15:25:52.0,Manassas National Battlefield Park
COVID-19 Mask Requirement,mana,Masks are optional inside park buildings. We continue to monitor and respond to the COVID-19 pandemic and follow CDC guidance.,2022-03-12 10:03:28.0,Manassas National Battlefield Park
Caution: Red Tide effects have appeared in areas of the park,deso,"Red Tide (Karenia brevis) effects have appeared in areas of the park. Visitors may experience strong odors, and respiratory irritations along coastal areas. Visitors with Asthma, COPD, or compromised respiratory systems should exercise caution.",2023-03-06 11:41:47.0,De Soto National Memorial
Winter Closures,labe,"The 'B' loop of the campground and the following caves are closed for the winter: Sentinel Cave, Sunshine Cave, Labyrinth Cave, Lava Brook Cave, Hercules Leg Cave, Juniper Cave, and the downstream portions of Thunderbolt Cave.",2023-03-04 16:31:47.0,Lava Beds National Monument
Winter Weather,labe,"Due to snowfall and winter weather park roads, trails, walkways, cave entrances and parking areas may be icy and have snow covering them. Please travel carefully and watch your footing when hiking or caving.",2022-11-29 14:19:16.0,Lava Beds National Monument
White-Nose Syndrome / Cave Permit,labe,"Please Do Not bring clothing or caving gear used in caves or mines outside of Lava Beds into our caves. This will help slow the spread of white-nose syndrome, a bat disease that is killing bats outside of the park.",2022-05-13 19:28:27.0,Lava Beds National Monument
Possible Downed Trees on Park Roads and Trails,neri,"Due to recent heavy rainfall and high winds, there have been reports of several trails having trees fallen across impeding access. We advise all visitors to be cautious for downed trees and trees at risk of falling on roads and trails.",2023-03-04 12:39:19.0,New River Gorge National Park & Preserve
 Phased Reopening and Outdoor Programming,ovvi,"We are increasing access to the parks in phases. Beginning 1/15/2023, visitor centers at Cowpens and Kings Mountain will open 9 – 5 on Wed – Sun. Grounds & restrooms open daily 9 – 5.",2023-03-02 15:49:21.0,Overmountain Victory National Historic Trail
High Wind Risk,gumo,"During the windy season (November through March, annually) the park often experiences high wind speeds (above 45MPH) and dangerous gusts (50MPH to above 80MPH). These strong winds can pose a risk to those hiking, camping, or driving.",2023-03-02 13:42:08.0,Guadalupe Mountains National Park
Planning a Spring Break Visit?,gumo,March is the busiest month in the park. Be prepared for parking areas and campgrounds to be at full capacity on weekends. Have a backup plan. Be flexible.,2023-01-09 15:50:54.0,Guadalupe Mountains National Park
Williams Ranch Road Closed,gumo,The Williams Ranch Road is currently impassable and closed to public access due to unsafe conditions.,2023-01-05 10:48:00.0,Guadalupe Mountains National Park
Devil's Hall is a Strenuous Hike,gumo,The hike to Devil's Hall is rated as strenuous. The portion of the route in the wash requires rock scrambling and is dangerous when wet or if water is present. The wash surface is loose gravel and rocks and may be unstable.,2022-12-02 13:09:34.0,Guadalupe Mountains National Park
Thompson Memorial A.M.E. Zion Church Restoration,hart,"The Thompson Memorial A.M.E. Zion Church and parsonage at 47 Parker Street, Auburn, are currently undergoing restoration and rehabilitation. The buildings are closed to the public, but are expected to open in late summer 2023.",2023-03-02 12:34:53.0,Harriet Tubman National Historical Park
Drive Cautiously - Endangered Birds on Roadway,hale,"Nēnē (Hawaiian geese) and ʻuaʻu(Hawaiian petrel) are nesting in the park and may land on or frequent park roads, parking lots, and road leading up to the park. Drivers are reminded to drive at the posted speed limits and exercise caution.",2023-03-01 18:06:54.0,Haleakalā National Park
"Haleakalā Visitor Center at 9,740 Feet Closed for a Building Improvement Project",hale,"Haleakalā Visitor Center at 9,740 feet is temporarily closed for a building improvement project. The parking lot at this location remains open. Headquarters Visitor Center at 7,000 remains open from 8:30 am - 4:30 pm.",2023-03-01 14:01:28.0,Haleakalā National Park
"Wood lockers in cabins installed on November 1, 2018",hale,"On November 1, 2018, a new wood locker system was implemented for cabin users. Each cabin houses 18 lockers, each stocked with three logs. Lockers assignments are issued through existing cabin reservations.",2021-06-23 17:00:13.0,Haleakalā National Park
Avoid area around the church & under trees in high wind conditions,sapa,"In high wind conditions (sustained winds of 25 mph and above) visitors are advised to avoid the area around the church, with the possibility of falling clay tiles from the roof, and the cemetery, possibility of falling tree branches or limbs. Thank you.",2023-03-01 09:06:43.0,Saint Paul's Church National Historic Site
Belmont-Paul Women's Equality NM closed for renovations,bepa,Renovation work funded through the Great American Outdoors Act (GAOA) began in January 2022. The museum will remain closed to the general public during construction. We hope to welcome visitors again in 2023.,2023-02-28 12:32:44.0,Belmont-Paul Women's Equality National Monument
Melrose Mansion Guided Tours,natc,"Reservations for guided tours of the mansion must be made on Recreation.gov. Tours start at 9, 10, 11, 2, 3, and 4; masks are optional. Beginning March 1, Melrose will be temporarily closed on Tuesdays.",2023-02-28 11:19:07.0,Natchez National Historical Park
Face masks are now optional,natc,"As Covid-related numbers have dipped below the CDC determined High Rate of Transmission in Adams County, Mississippi, face masks are no longer required in all NPS buildings at Natchez National Historical Park. Wearing of face masks is optional.",2022-03-09 15:31:41.0,Natchez National Historical Park
William Johnson House Remains Closed,natc,The William Johnson House remains closed at this time.,2021-11-19 02:06:58.0,Natchez National Historical Park
Giftshop closed the last Tuesday of every month,tuai,The giftshop will be closed the last Tuesday of every month for inventory.,2023-02-28 11:08:55.0,Tuskegee Airmen National Historic Site
Tuskegee Airmen Hangar 1 and Hangar 2 Reopens,tuai,The Tuskegee Airmen National Historic Site has reopened Hangar 1 and Hangar 2 at a reduced capacity. Hours are Wednesday thru Saturday from 9 a.m. to 4:30 p.m cst. Site grounds are open 8 a.m. to sunset daily.,2022-05-28 10:26:23.0,Tuskegee Airmen National Historic Site
"Wednesday, March 9, 2022: Changes to Masking Requirements Per CDC's Updated Guidance",tuai,"The Tuskegee Airmen NHS is in a county with a Low COVID-19 Community Level, so masks are currently not required in either indoor or outdoor locations.",2022-03-09 10:23:33.0,Tuskegee Airmen National Historic Site
Road Open To: Mile 13 (Mountain Vista),dena,"The Denali Park Road is open to Mile 13, Mountain Vista. Wintry conditions beyond that point prevent vehicle travel, though pedestrian travel is permitted. Be prepared for winter driving conditions to reach Mile 13.",2023-02-27 15:39:33.0,Denali National Park & Preserve
Park Operations Altered Due to Pretty Rocks Landslide,dena,Summer access to facilities and services in Denali remains altered due to the Pretty Rocks Landslide and the associated closure of the Park Road at Mile 43. Check here for more information on what to expect.,2022-09-19 14:11:22.0,Denali National Park & Preserve
Changing Health and Safety Procedures,loea,"Effective March 1st, the Museum Shop and Visitor Center will be mask-optional for all visitors and staff. However, masks will still be required on indoor building tours. Children under 5 can attend a neighborhood walking tour or visit us virtually",2023-02-27 11:53:52.0,Lower East Side Tenement Museum National Historic Site
Health and Safety Procedures,loea,The Tenement Museum is an affiliated site with the National Park Service. As an affiliated site they reserve the right to set health and safety standards for the museum. Please check their website to learn about specific requirements guests must follow.,2023-02-27 11:53:42.0,Lower East Side Tenement Museum National Historic Site
Park Closure,cech,César Chávez National Monument is subject to intermittent closures because of impacts of winter storms.,2023-02-27 11:01:52.0,César E. Chávez National Monument
Temporary Relocation,jazz,"The French Quarter visitor center for the New Orleans Jazz NHP and the Jean Lafitte NHP&P has temporarily moved to 916 N. Peters Street, New Orleans, LA 70116, as of 2/28/23.",2023-02-25 18:18:38.0,New Orleans Jazz National Historical Park
Wupatki VC Phone Outages,wupa,The main phone line for the visitor center experiences occasional outages. Please call 928-856-1705 if you have trouble getting through on the main number.,2023-02-25 15:48:38.0,Wupatki National Monument
Mask Wearing Guidance,wupa,"In accordance with current CDC guidance, masks are not required inside federal buildings if community transmission levels are low-medium. Masks are required when Coconino County levels are high.",2022-12-17 19:08:22.0,Wupatki National Monument
Rabbit Hemorrhagic Disease Confirmed in Arizona,wupa,"The Arizona Game and Fish Department and the Arizona Department of Agriculture have confirmed rabbit hemorrhagic disease virus (RHDV2) in Arizona cottontails and black-tailed jackrabbits. As always, please do not approach any wildlife during your visit.",2022-12-17 19:05:26.0,Wupatki National Monument
Bathrooms Closed for Rehabilitation Project - 1/9 through 3/3,moca,The Montezuma Castle Visitor Center's bathrooms will be closed for rehabilitation and repairs from 1/9 - 2/20. The park will have bathroom trailers and porta potties on site for visitor use. The park asks all visitors to plan accordingly.,2023-02-25 11:02:05.0,Montezuma Castle National Monument
Park Operations During Spring Break Feb. 26 - May 13.,moca,"From Feb. 26 - May 13 the park will be in Spring Break Operations. Please be sure to plan for long lines, long waits and parking lots to be full. We ask the public to not park parallel, have passes and IDs ready, as well as exact change for entrance fee.",2023-02-25 11:00:11.0,Montezuma Castle National Monument
"Park Closed to Buses, RVs and Trailers 10am - 2pm. Feb. 26 - May 13.",moca,"The parks (including Montezuma Well) will enter Spring Break Operations Feb. 26 - May 13. During this time, the parking lots will be closed to large, oversized vehicles such as RVs and trailers between the times of 10am and 2pm. Please plan accordingly.",2023-02-25 10:53:15.0,Montezuma Castle National Monument
Masks are currently NOT REQUIRED when visiting Montezuma Castle National Monument,moca,Requirements are dependent upon Community Level and based on data provided by the Centers for Disease Control & Prevention (CDC) for counties where the park is located. Yavapai County is currently LOW and Masks are NOT REQUIRED inside Federal Buildings.,2022-12-16 12:21:20.0,Montezuma Castle National Monument
Annual Closure to Protect Nesting Peregrine Falcons,hafe,"To provide peregrine falcons adequate space for nesting, portions of Maryland Heights will be closed from Feb 15 to July 31, 2023. This includes several rock outcroppings near the overlook and certain climbing walls. The Maryland Heights Trail is OPEN.",2023-02-24 14:49:44.0,Harpers Ferry National Historical Park
Ongoing work on Lower Town buildings,hafe,Facilities staff are doing repair work on several buildings in Lower Town. Please follow signs for alternate entrances and heed temporary closures.,2022-09-30 08:47:43.0,Harpers Ferry National Historical Park
French Quarter and Jazz NHP Visitor Center Temporary Relocation,jela,"The French Quarter and New Orleans Jazz NHP Visitor Center is temporarily moved to 916 N. Peters Street, New Orleans, LA 70116. For more details and updates, click ""more"" below.",2023-02-24 11:26:28.0,Jean Lafitte National Historical Park and Preserve
Park Unit Closures and Reopenings,jela,"The Prairie Acadian Cultural Center in Eunice is closed. However, this site does have some outdoor programs. See the Calendar for event information. Some trails at the Barataria Preserve remain closed. Click ""more"" below for further information.",2022-11-28 14:11:04.0,Jean Lafitte National Historical Park and Preserve
Park trails are largely open; picnic area remains closed.,arpo,Trails are now open. Temporary closures may exist on portions of the trail where hazards are still present. Park staff are working to remove these hazards to provide a safe visitor experience. The picnic area remains closed due to downed trees and,2023-02-23 15:40:59.0,Arkansas Post National Memorial
Masks Required in Visitor Center,arpo,"Mask Update: Arkansas County is at a High Level for Covid cases. The Visitor Center is requiring masks to be worn inside the building, regardless of vaccination status, until the level decreases in the county.",2023-02-01 07:48:10.0,Arkansas Post National Memorial
Weather Advisory and Storm Warnings,cach,The park may have delayed openings or closures in the event of severe weather. Travel may not be recommended during these times. Please check local weather forecasts. We appreciate your understanding.,2023-02-23 15:02:25.0,Canyon de Chelly National Monument
White House Overlook and Trail Closed,cach,"White House Overlook and Trail, one of seven overlooks and the only public trail on the South Rim Drive, remains closed because of safety and law enforcement concerns.",2021-07-09 12:17:08.0,Canyon de Chelly National Monument
Weather Advisory and Storm Warnings,nava,The park may have delayed openings or closures in the event of severe weather. Travel may not be recommended during these times. Please check local weather forecasts. We appreciate your understanding.,2023-02-23 14:57:36.0,Navajo National Monument
Current Weather Conditions,nava,Use the link below to visit the National Weather Service website for current weather conditions in the park.,2019-07-12 11:04:49.0,Navajo National Monument
Weather Advisory and Storm Warnings,hutr,The park may have delayed openings or closures in the event of severe weather. Travel may not be recommended during these times. Please check local forecasts. We appreciate your understanding.,2023-02-23 14:42:01.0,Hubbell Trading Post National Historic Site
Equestrian Bridge Closure,nisi,"To protect equestrian riders and their horses, the northern most bridge on the equestrian trail is closed immediately to equestrian use. It will remain closed until it can be replaced.",2023-02-22 14:13:39.0,Ninety Six National Historic Site
Increasing Access to Visitor Center and Museum,nisi,"Beginning Sunday, Jan. 15, 2023, the visitor center at Ninety Six will be open daily Wednesday to Sunday from 9:00 am to 4:30 pm. Restrooms and park grounds are open 7 days per week, except on federal holidays specified in the superintendent’s compendium.",2022-12-14 14:41:14.0,Ninety Six National Historic Site
Mask Status in Park Buildings – MASKS OPTIONAL - starting September 9,nisi,"Consistent with CDC guidance, face coverings are not required in federal buildings at Low or Medium COVID rates. During High COVID rates masks will be required.",2022-09-10 14:32:29.0,Ninety Six National Historic Site
Fisherman's Trail Closed,nisi,"Fishermen's Trail is closed for trail and bridge maintenance. For more information about Ninety Six National Historic Site's available trails, please call the park at 864-543-4068.",2021-09-22 08:58:42.0,Ninety Six National Historic Site
Road Closure March 12th for West Orange St. Patrick's Day Parade,edis,"Main St. will close Sunday, March 12th from about 11am till about 3:00pm for the annual West Orange St. Patrick's Day Parade. Until Main St. reopens, our parking lots will be closed. Parking may be available on Lakeside Ave or nearby streets.",2023-02-22 08:51:52.0,Thomas Edison National Historical Park
Masking at Thomas Edison NHP,edis,"Masks are required in buildings when the CDC has marked the COVID-19 Community Level HIGH for Essex County. On the site, enter New Jersey as the state and Essex as the county. Guidance updates every week by Friday. Check the Site here for current level:",2022-12-22 12:05:27.0,Thomas Edison National Historical Park
Gallatin House Wheelchair Ramp Construction,frhi,"The wheelchair ramp into the Gallatin House will be under construction from February 27th to April 30th, 2023. This will prevent wheelchair access to the historic home and may impede accessibility for other visitors until the work is completed.",2023-02-18 15:42:07.0,Friendship Hill National Historic Site
Gallatin House Winter Hours,frhi,"The Gallatin Houses is open Saturdays and Sundays only, 9 a.m. - 5 p.m. October through April. Park grounds and trails remain open daily from sunrise to sunset.",2022-09-30 14:08:23.0,Friendship Hill National Historic Site
Slippery Conditions along Mainland Trail and Meyers Beach Parking Area,apis,"Freezing temperatures, following recent rains, glazed the trail and parking area at Meyers Beach with a layer of ice. Shoe traction devices and trekking poles are highly recommended. Use extra caution where the trail approaches the cliff edge.",2023-02-17 12:51:34.0,Apostle Islands National Lakeshore
Winter Fee Collection,apis,Winter Meyers Beach parking fees will only be collected with the Recreation.gov app Scan&Pay feature. Download the Recreation.gov app before visiting to pay fees when out of cell service. Cash fee envelopes may not be available.,2023-01-31 09:41:56.0,Apostle Islands National Lakeshore
Ongoing Storm Damage Closures,apis,Ongoing list of closures related to previous storm damage for public safety: Devils Island Dock & Campsite; West Bay Club on Sand Island; Hokenson Dock at Little Sand Bay.,2021-09-15 09:45:04.0,Apostle Islands National Lakeshore
Private Property: Sand & Rocky Islands,apis,"Reminder: There are private holdings on the southeast corner of Sand Island, and just north of Group Site A on Rocky Island. It is trespassing to be on their property, including their docks. Stay out of those clearly marked areas or you can be fined.",2017-07-13 09:26:45.0,Apostle Islands National Lakeshore
Park Closed to the Public,hono,"The park is currently closed to the public. If you would like learn more about Honouliuli when visiting O‘ahu, you can visit our partner at the Japanese Cultural Center of Hawai‘i in Honolulu.",2023-02-16 11:01:46.0,Honouliuli National Historic Site
Visitor Center Relocated,ruca,"Due to an ongoing renovation project, the main Visitor Center will be closed. Services such as the museum and movie will be unavailable at this time. Other services such as public restrooms and park information have been moved to the temporary VC.",2023-02-15 14:26:12.0,Russell Cave National Monument
COVID-19 Mask Requirement,ruca,"Consistent with CDC guidance regarding areas of substantial or high transmission, visitors to Russell Cave National Monument, regardless of vaccination status, are required to wear a mask inside all park buildings.",2021-07-29 14:01:58.0,Russell Cave National Monument
Visitor Center Closed for Season,chpi,Brochures & park stamps are available daily at Fort Moultrie on Sullivan's Island. The outdoor grounds & restrooms are open Wednesday through Sunday. The site is fully closed Monday & Tuesday. Please monitor this website for our spring 2023 re-opening,2023-02-15 09:13:11.0,Charles Pinckney National Historic Site
Roofing Project Underway,chpi,"Beginning February 6, 2023, construction crews are working on the roof of the historic home. Please avoid marked construction areas and blocked walkways. The project will last about 6 weeks.",2023-02-15 08:59:15.0,Charles Pinckney National Historic Site
Whitewater Creek Access Road and Parking Lot Closed,chat,"The Whitewater Creek access road and parking lot are closed for storm damage assessment and repairs. Trails at East Palisades remain open, but please visit alternate park units.",2023-02-14 14:17:39.0,Chattahoochee River National Recreation Area
Temporary Closure of Trail in Bowmans Island Unit,chat,The trail between markers BI 3 & BI 20 will be closed due to construction on foot bridges. Trail connectivity will be available through the local connector between markers BI 15 & BI 25. This closure will begin October 24 and last until further notice.,2022-10-27 15:54:19.0,Chattahoochee River National Recreation Area
Johnson Ferry North Trail Closure,chat,"The Colonial Pipeline Company will begin work in the Johnson Ferry North unit on October 17,2022. Construction activities will close the utility road and one section of the river trail. All other trails will remain open. Directional signs will be posted.",2022-10-11 17:33:48.0,Chattahoochee River National Recreation Area
Face Masks Optional,chat,"The NPS face mask guidance is based on the CDC’s COVID-19 Community Levels tool. Face masks are currently optional at Chattahoochee River National Recreation Area, however you are welcome to wear a mask if it makes you more comfortable.",2022-09-19 13:13:32.0,Chattahoochee River National Recreation Area
Riparian Trail is currently closed,jomu,"Due to safety issues, the Riparian trail is currently closed to the public. This trail is located half way up the Mount Wanda Fire road, past the Nature Trail. Please do not access this trail until further notice.",2023-02-14 13:44:54.0,John Muir National Historic Site
"Mask Policy - December 30, 2022",jomu,Masks are required inside all park shuttles and vehicles.,2022-12-30 10:57:55.0,John Muir National Historic Site
Martinez Adobe,jomu,"The Martinez Adobe, located on the western edge of John Muir’s historic orchard, is currently closed due to structural damage. It is unknown when the public will be able to enter the structure. The Muir/Strentzel mansion remains open to visitors.",2022-02-01 13:51:44.0,John Muir National Historic Site
Nature Center Closed on Wednesdays this Spring,rocr,"To plan for new activities and onboard new staff, starting February 15, the Rock Creek Park Nature Center and Planetarium will be closed to the public on Wednesdays, continuing into late spring. We will remain open Thursday through Sunday, 9am to 5pm.",2023-02-11 09:34:09.0,Rock Creek Park
Restrooms at Picnic Grove #10 temporarily closed,rocr,"The restroom facility at Picnic Grove #10 along Beach Drive is temporarily closed. Restroom facilities are open at Picnic Grove #1, Picnic Grove #6, Picnic Grove #24, behind Peirce Barn, and at the Rock Creek Nature Center during business hours.",2023-02-07 15:00:38.0,Rock Creek Park
Glover-Archbold trail detour,rocr,"For visitor safety, the southern end of the Glover-Archbold Trail is under an emergency closure until further notice due to aerial hazards. Please follow the posted detour along Foxhall Rd. / 44th St. NW / P St. NW.",2020-12-09 21:39:51.0,Rock Creek Park
Bingham Drive NW closed temporarily,rocr,"Until further notice, Bingham Drive NW is closed between Oregon Avenue NW and Beach Drive NW due to a sewer rehabilitation project. The adjacent paved trail will remain open during construction for pedestrians and cyclists.",2020-12-09 21:39:31.0,Rock Creek Park
