line1,line2,line3,city,stateCode,postalCode,address
Exit 311,Interstate 40,,Petrified Forest,AZ,86028,"Exit 311, Interstate 40, , Petrified Forest, AZ, 86028"
Visitor Information Center,Unser Blvd. NW at Western Trail,GPS Lat: 35.139   GPS Long: -106.711,Albuquerque,NM,87120,"Visitor Information Center, Unser Blvd. NW at Western Trail, GPS Lat: 35.139   GPS Long: -106.711, Albuquerque, NM, 87120"
1505 Sand Point Road,,,Munising,MI,49862,"1505 Sand Point Road, , , Munising, MI, 49862"
5000 East Entrance Road,,,Paicines,CA,95043,"5000 East Entrance Road, , , Paicines, CA, 95043"
Pipe Spring National Monument,,406 Pipe Springs Road,Fredonia,AZ,86022,"Pipe Spring National Monument, , 406 Pipe Springs Road, Fredonia, AZ, 86022"
36 Reservation Ave,,,Pipestone,MN,56164,"36 Reservation Ave, , , Pipestone, MN, 56164"
3400 Bryan Point Road,,,Accokeek,MD,20607,"3400 Bryan Point Road, , , Accokeek, MD, 20607"
1 Bear Valley Road,,,Point Reyes Station,CA,94956,"1 Bear Valley Road, , , Point Reyes Station, CA, 94956"
National Trails Regions 6|7|8,Pony Express National Historic Trail,1100 Old Santa Fe Trail,Santa Fe,NM,87505,"National Trails Regions 6|7|8, Pony Express National Historic Trail, 1100 Old Santa Fe Trail, Santa Fe, NM, 87505"
4202 Alhambra Ave,,,Martinez,CA,94553,"4202 Alhambra Ave, , , Martinez, CA, 94553"
Potomac Heritage National Scenic Trail,c/o Chesapeake and Ohio Canal National Historical Park,142 W. Potomac St.,Williamsport,MD,21795,"Potomac Heritage National Scenic Trail, c/o Chesapeake and Ohio Canal National Historical Park, 142 W. Potomac St., Williamsport, MD, 21795"
6859 Hwy. 577,,,Pioneer,LA,71266,"6859 Hwy. 577, , , Pioneer, LA, 71266"
117 South Hervey Street,,,Hope,AR,71801,"117 South Hervey Street, , , Hope, AR, 71801"
"1450 Pennsylvania Ave., NW",,,Washington,DC,20230,"1450 Pennsylvania Ave., NW, , , Washington, DC, 20230"
Presidio of San Francisco,,,San Francisco,CA,94129,"Presidio of San Francisco, , , San Francisco, CA, 94129"
18170 Park Entrance Road,,,Triangle,VA,22172,"18170 Park Entrance Road, , , Triangle, VA, 22172"
610 E. 111th Street,,,Chicago,IL,60628,"610 E. 111th Street, , , Chicago, IL, 60628"
Highway 160,,,Hōnaunau,HI,96726,"Highway 160, , , Hōnaunau, HI, 96726"
Pu'ukohola Heiau National Historic Site,62-3601 Kawaihae Road,,Kawaihae,HI,96743,"Pu'ukohola Heiau National Historic Site, 62-3601 Kawaihae Road, , Kawaihae, HI, 96743"
Rainbow Bridge National Monument,Forbidding Canyon,,Lake Powell,UT,00000,"Rainbow Bridge National Monument, Forbidding Canyon, , Lake Powell, UT, 00000"
706 Craven Street,,,Beaufort,SC,29902,"706 Craven Street, , , Beaufort, SC, 29902"
1111 Second Street,,,Crescent City,CA,95531,"1111 Second Street, , , Crescent City, CA, 95531"
3215 E. Broad Street,,,Richmond,VA,23223,"3215 E. Broad Street, , , Richmond, VA, 23223"
Rio Grande Wild & Scenic River,1 Panther Junction,,Big Bend National Park,TX,79834,"Rio Grande Wild & Scenic River, 1 Panther Junction, , Big Bend National Park, TX, 79834"
333 N. Dixie Hwy.,,,Monroe,MI,48162,"333 N. Dixie Hwy., , , Monroe, MI, 48162"
"5200 Glover Rd, NW",,,Washington,DC,20015,"5200 Glover Rd, NW, , , Washington, DC, 20015"
1000 US Hwy 36,,,Estes Park,CO,80517,"1000 US Hwy 36, , , Estes Park, CO, 80517"
