Park Name,parkCode,Description,Directions,Address
Hot Springs National Park,hosp,"Hot Springs National Park has a rich cultural past. The grand architecture of our historic bathhouses is equally matched by the natural curiosities that have been drawing people here for hundreds of years. Ancient thermal springs, mountain views, incredible geology, forested hikes, and abundant creeks – all in the middle of town – make Hot Springs National Park a unique and beautiful destination.","From Little Rock: Take I-30W towards Texarkana. Exit 111 for US 70W/Hot Springs. Turn Right onto Spring St. Turn Right onto Central Ave. Drive North, the Park will be on the right after Reserve St. From Texarkana: Take 1-30E. Exit 78 for AR-7 and turn left under the highway. Follow AR-7 North for 31 miles. AR-7 becomes Central Ave., the Park will be on the right after Reserve Street.","369 Central Avenue, , , Hot Springs, AR, 71901"
Hovenweep National Monument,hove,"Once home to over 2,500 people, Hovenweep includes six prehistoric villages built between A.D. 1200 and 1300. Explore a variety of structures, including multistory towers perched on canyon rims and balanced on boulders. The construction and attention to detail will leave you marveling at the skill and motivation of the builders.","Do not use GPS to find your way. There are numerous paved and dirt roads intersecting each other in this remote corner of Utah. The Hovenweep Visitor Center is located 40-45 miles from Cortez, Colorado, and Blanding and Bluff, Utah. Follow driving directions on our webpage.","Along the border between southeast Utah and southwest Colorado, Just north and west of Cortez, CO, , Cortez, CO, 81321"
Hubbell Trading Post National Historic Site,hutr,"Wóshdę́ę́, please come in where the squeaky wooden floors greet your entry into the oldest operating Trading Post on the Navajo Nation. As your eyes adjust to the dim light in the ""bullpen"", you'll find you've just entered a mercantile. Hubbell's in Ganado has been selling goods and trading Native American Art since 1878. Discover Hubbell Trading Post NHS, sheep, rugs, jewelry and so much more...","Hubbell Trading Post National Historic Site is located at mile post 446.3 on AZ state route 264. Visitors traveling on I-40 can take U.S. Highway 191 North to Ganado and drive west on Hwy. 264. If you are traveling from Gallup, New Mexico, you may take U.S. Highway 491 North to U.S. Highway 264 west toward Ganado, through Window Rock,Arizona. When you are driving south from Chinle, Arizona on Hwy. 191 you will drive east when you reach Hwy. 264.","1/2 mile west of Hwy 191/264, , , Ganado, AZ, 86505-0150"
Ice Age Floods National Geologic Trail,iafl,"At the end of the last Ice Age, 18,000 to 15,000 years ago, an ice dam in northern Idaho created Glacial Lake Missoula stretching 3,000 square miles around Missoula, Montana. The dam burst and released flood waters across Washington, down the Columbia River into Oregon before reaching the Pacific Ocean. The Ice Age Floods forever changed the lives and landscape of the Pacific Northwest.","To Trail Headquarters from Spokane Take I-90 West At Exit 277, merge onto US-2 toward Davenport/Fairchild AFB/Spokane Airport Just past Wilbur, turn right onto WA-21 Stay left onto Highway 174 Turn right onto WA-155 Stay on WA-155 past Grand Coulee Dam and into the town of Coulee Dam Cross the Columbia River and continue on WA-155 Turn right onto Crest Drive and follow up the hill. The HQ Office is located on the left","Program Manager, Ice Age Floods National Geologic Trail, 1008 Crest Drive, Coulee Dam, WA, 99116"
Ice Age National Scenic Trail,iatr,"A mere 15,000 years ago during the Ice Age, much of North America lay under a huge glacier. Mammoths, saber tooth cats and cave lions roamed the earth! Some of the best evidence of this glacier is found in Wisconsin such as the state’s many lakes, river valleys, gently rolling hills, and ridges. The nearly 1,200 mile Ice Age National Scenic Trail, established in 1980, traces the glacier's edge.","The Ice Age National Scenic Trail stretches nearly 1,200 miles across Wisconsin. Plane Commercial airports are located in major cities and regional communities throughout the state at varying distances from the Ice Age National Scenic Trail. Car Numerous trailheads with parking are located throughout the state.","8075 Old Sauk Pass Road, , , Cross Plains, WI, 53528"
Independence National Historical Park,inde,"The park represents the founding ideals of the nation, and preserves national and international symbols of freedom and democracy, including Independence Hall and the Liberty Bell. The Declaration of Independence and U.S. Constitution were both debated and signed inside Independence Hall, a UNESCO World Heritage Site.","Independence National Historical Park is located in an urban area served by Interstates 95 and 676. The park is also easily accessible by public transportation, including SEPTA and PATCO mass transit routes. Whether you choose driving, the bus or the train, we recommend that you start your visit at the Independence Visitor Center at 6th and Market Streets. See the park's website for specific directions.","599 Market Street, , , Philadelphia, PA, 19106"
Indiana Dunes National Park,indu,"Lake Michigan's might has influenced Indiana Dunes for millennia. Wind and waves have shaped the land, leaving a rich mosaic of habitats along these 15 miles of Indiana coast. Over 50 miles of trails lead through shifting sand dunes, quiet woodlands, sunny prairies and lush wetlands. Known for its striking plant and bird diversity, it's easy to find inspiration throughout the park’s 15,000 acres.","Visitors can access the national park via Interstate 94, the Indiana Toll Road (Interstate 80/90), U.S. Highway 12, U.S. Highway 20, Indiana State Road 49, and various other local roads. The Indiana Dunes Visitor Center is located on Indiana State Road 49, between U.S. Highway 20 and Interstate 94 (1215 IN-49, Porter, IN 46304). For a driving map to the Indiana Dunes Visitor Center or other locations, check out our maps page.","1215 IN-49, , , Porter, IN, 46304"
Isle Royale National Park,isro,"Explore a rugged, isolated island far from our connected communities. Isle Royale offers adventures for backpackers, hikers, boaters, paddlers, and divers. Cross Lake Superior and make a commitment: Become a part of this island, and let it become a part of you. Find peace and refuge in island wilderness – because Isle Royale, in turn, finds refuge in us. Help Isle Royale stay wild.","Isle Royale National Park headquarters is located in Houghton, MI. Visit the Houghton page on the Isle Royale National Park website for additional information and a map on how to access the visitor center.","800 East Lakeshore Drive, , , Houghton, MI, 49931"
Iñupiat Heritage Center,inup,"On the rooftop of the world, the Iñupiat Heritage Center in Barrow, Alaska, tells the story of the Iñupiat people. They have thrived for thousands of years in one of the most extreme climates on Earth, hunting the bowhead, or ""Agviq."" In the 19th century, the quiet northern seas swarmed with commercial whalemen from New England, who also sought the bowhead for its valuable baleen and blubber.","The Inupiat Heritage Center is located in Barrow, Alaska, the largest city in the North Slope Borough and the northernmost city in the United States. Barrow can be reached via commercial and charter flights from Anchorage and Fairbanks.","5421 North Star Street, , , Barrow, AK, 99723"
James A Garfield National Historic Site,jaga,"A front porch can serve many purposes. For some, it is a place to enjoy the breeze on a warm summer night. For others, a perch from which to keep eyes on what's happening in their neighborhood. In 1880, James Garfield used his front porch as a platform to greet thousands of well-wishers during his presidential campaign. Today, the porch serves as a gateway to the story of the Garfield family.",From Interstate 90 - exit at Route 306 and head north to Route 20. East on Route 20 about 1.5 miles. Site is on north side of Mentor Avenue. From Route 2 - exit at Route 306 and head south to Route 20. East on Route 20 about 1.5 miles. Site is on the north side of Mentor Avenue.,"8095 Mentor Avenue, , , Mentor, OH, 44060"
Jean Lafitte National Historical Park and Preserve,jela,"In Jean Lafitte's day, silver and gold filled a pirate's treasure chest, but today's treasures are people, places, and memories. Discover New Orleans’ rich cultural mix. Learn Cajun traditions from people who live them. Watch an alligator bask on a bayou’s bank. Walk in the footsteps of the men who fought at 1815’s Battle of New Orleans. Follow the link to discover the treasure of Jean Lafitte.","Jean Lafitte's headquarters and the park's French Quarter Visitor Center is located at 419 Decatur St. in New Orleans. There are five other park sites scattered throughout south Louisiana. For information on all of the park sites and visitor centers, see the Directions URL.","419 Decatur St, , , New Orleans, LA, 70130"
Jewel Cave National Monument,jeca,"Immerse yourself in one of the longest caves in the world. With over 215 miles of mapped and surveyed passages, this underground wilderness appeals to human curiosity. Its splendor is revealed through fragile formations and glimpses of brilliant color. Its maze of passages lures explorers, and its scientific wealth remains a mystery. This resource is truly a jewel in the National Park Service.","By car: Jewel Cave National Monument is located 13 miles west of Custer, South Dakota and 24 miles east of Newcastle, Wyoming on U.S. Highway 16. The monument is about 54 miles from Rapid City, South Dakota via U.S. Highway 16 / 385. By plane: The nearest major airport, Rapid City Regional Airport, is 63 miles away.","11149 U.S. Hwy. 16, Building B12, , Custer, SD, 57730"
Jimmy Carter National Historical Park,jica,"Few U.S. Presidents have had such close ties with where they were born and raised. The rural southern culture of Plains, Georgia, that revolves around farming, church and school, had a large influence in molding the character and in shaping the political policies of the 39th President of the United States.",In Americus take US 280W/ W Forsyth St. until it becomes US-19 S/US-280 W/S Martin Luther King Blvd. Turn left and go .08 mile. Turn right onto US-280 W and travel 8.9 miles. Turn right onto North Bond Street/ Hwy 45 North. Plains High School Visitor Center and Museum will be on the right side of the road 500 feet from the intersection.,"300 North Bond Street, , , Plains, GA, 31780"
John Day Fossil Beds National Monument,joda,"Colorful rock formations at John Day Fossil Beds preserve a world class record of plant and animal evolution, changing climate, and past ecosystems that span over 40 million years. Exhibits and a working lab at the Thomas Condon Visitor Center, as well as scenic drives and hikes at all three units, allow visitors to explore the prehistoric past of Oregon and see science in action.","John Day Fossil Beds encompasses 14,000 acres in three geographically separated units in Oregon: Sheep Rock Unit, Painted Hills Unit, and Clarno Unit. The Sheep Rock Unit is located between the towns of Dayville and Kimberly. The Painted Hills Unit is located 9 miles northwest of of the town of Mitchell. The Clarno Unit is located on Highway 218 twenty miles west of the town of Fossil.","32651 Highway 19, , , Kimberly, OR, 97848"
John Fitzgerald Kennedy National Historic Site,jofi,"As a boy, JFK’s parents never expected he would grow up to be president. Yet in his birthplace home he learned values that inspired a life in public service. His mother, Rose Kennedy, recreated her family’s first home to share her memories of those early years with visitors. We commemorate not only his early life, but the ideas and principles he left behind.","By Subway: Take Green line (""C"" -Cleveland Circle) trolley to Coolidge Corner stop. Walk four blocks north on Harvard Street, turn right on Beals Street and continue to number 83. By Car: From Exit 18 (I-90 E) or Exit 20 (1-90 W) follow the Allston/Brighton exit ramp, merge onto Cambridge Street and go one mile. At the fourth light, turn left on Harvard Street and proceed about one mile. Turn left on Beals Street and go to number 83. Limited Street Parking available.","83 Beals Street, , , Brookline, MA, 02446"
John Muir National Historic Site,jomu,"John Muir played many roles in his life, all of which helped him succeed in his role as an advocate for Nature. As America’s most famous naturalist and conservationist, Muir fought to protect the wild places he loved, places we can still visit today. Muir’s writings convinced the U.S. government to protect Yosemite, Sequoia, Grand Canyon and Mt. Rainier as national parks.",Please visit our main website for specific directions to our park. You may call the John Muir Visitor Center for additional information.,"4202 Alhambra Ave, , , Martinez, CA, 94553"
Johnstown Flood National Memorial,jofl,"The South Fork Dam failed on Friday, May 31, 1889, and unleashed 20,000,000 tons of water that devastated Johnstown, PA. The flood killed 2,209 people but it brought the nation and the world together to aid the ""Johnstown sufferers."" The story of the Johnstown Flood reminds us all, ""...that we must leave nothing undone for the preservation and protection of our brother men.""",Take US Route 219 to the St Michael/Sidman exit. At the end of the exit ramp head East on PA 869 (there is a park sign at the end of the exit ramp). Travel approximately 1.5 miles on PA 869 watching for a left turn onto Lake Road at the sign for Johnstown Flood National Memorial. Follow Lake Road 1.5 miles until the visitor center appears on your right. Please park safely in the designated parking lot and not block any emergency access roads.,"733 Lake Road, , , South Fork, PA, 15956"
Joshua Tree National Park,jotr,"Two distinct desert ecosystems, the Mojave and the Colorado, come together in Joshua Tree National Park. A fascinating variety of plants and animals make their homes in a land sculpted by strong winds and occasional torrents of rain. Dark night skies, a rich cultural history, and surreal geologic features add to the wonder of this vast wilderness in southern California. Come explore for yourself.","From I-10, take exit 117 for CA Hwy 62 toward 29 Palms/Yucca Valley. This will allow you to access the West Entrance, the North Entrance, Black Rock, and Indian Cove. Take exit 168 off I-10 to come in at the park's South Entrance.","74485 National Park Drive, , , Twentynine Palms, CA, 92277-3597"
Juan Bautista de Anza National Historic Trail,juba,"""¡Vayan Subiendo!""(""Everyone mount up!"") was the rousing call from Juan Bautista de Anza. In 1775-76, he led some 240 men, women, and children on an epic journey to establish the first non-Native settlement at San Francisco Bay. Today, the 1,200-mile Juan Bautista de Anza National Historic Trail connects history, culture, and outdoor recreation from Nogales, Arizona, to the San Francisco Bay Area.","Details listed are for the Richmond, California administrative office of the Anza Trail (administrative office is not currently open to the public). The 1,210-mile Anza Trail connects historic, cultural, and recreation sites from Nogales, AZ, to the San Francisco Bay Area that reveal the legacy of our Spanish colonial heritage. Each site along the Anza Trail is managed independently. Contact individual sites for hours, directions, and other details.","440 Civic Center Plaza, Suite 300, , , Richmond, CA, 94804"
Kalaupapa National Historical Park,kala,"When Hansen's disease (leprosy) was introduced to the Hawaiian Islands, King Kamehameha V banished all afflicted to the isolated Kalaupapa Peninsula on the north shore of Molokai. Since 1866, more than 8,000 people, mostly Hawaiians, have died at Kalaupapa. Once a prison, Kalaupapa is now a refuge for the few remaining residents who are cured but were forced to live their lives in isolation.","Kalaupapa is an extremely isolated place, surrounded on three sides by ocean and two-thousand foot cliffs on the fourth. Consequently, there is no road access into the peninsula. Kalaupapa cannot be reached by automobile. To get to the park, visitors must travel by air, mule, or on foot. See the park's Direction and Transportation webpage for additional information.","7 Puahi Street, , , Kalaupapa, HI, 96742"
Kaloko-Honokōhau National Historical Park,kaho,"To survive in a hot and arid environment the native Hawaiians (kanaka maoli) used ancient fishing skills, including the building of fishponds, and the knowledge of the location of precious fresh water (wai) that flows into the many brackish pools throughout the park. The spirit of the people (poe) and the knowledge of the elders (kupuna) created a tradition of respect and reverence for this area.","Kaloko-Honokōhau National Historical Park is located on the west coast of the island of Hawai'i, approximately 3 miles south of the Keahole International Airport (Kailua-Kona AIrport) and 3 miles north of the town of Kailua-Kona, on the ocean side of Highway 19. The visitor center, Hale Ho'okipa, is located half a mile north of the entrance to Honokōhau Harbor. The Kaloko road gate is located across the highway from the Kaloko New Industrial Park (across from the big yellow ""Kona Trade Center"" building).","Visitor Center, Queen Ka'ahumanu Highway, south of 97 mile marker, , , Kailua-Kona, HI, 96740"
Katahdin Woods and Waters National Monument,kaww,"Spread across a wild landscape offering spectacular views of Mount Katahdin, Katahdin Woods and Waters invites discovery of its rivers, streams, woods, flora, fauna, geology, and the night skies that have attracted humans for millennia.","Katahdin Woods and Waters National Monument is located in north central Maine approximately a 2.5-hour drive west of Acadia National Park in Bar Harbor and 1.5-hour drive north of Bangor, Maine, both of which are served by regional airports.","PO Box 446, , , Patten, ME, 04765"
Katmai National Park & Preserve,katm,"A landscape is alive underneath our feet, filled with creatures that remind us what it is to be wild. Katmai was established in 1918 to protect the volcanically devastated region surrounding Novarupta and the Valley of Ten Thousand Smokes. Today, Katmai National Park and Preserve also protects 9,000 years of human history and important habitat for salmon and thousands of brown bears.","Katmai National Park & Preserve is located on the northern Alaska Peninsula, northwest of Kodiak Island and southwest of Homer, Alaska. The park’s headquarters is in King Salmon, about 290 air miles southwest of Anchorage. Unlike most national parks in the United States, Katmai is almost exclusively accessed by plane or boat.","1000 Silver Street, Building 603, , King Salmon, AK, 99613"
Kenai Fjords National Park,kefj,"At the edge of the Kenai Peninsula lies a land where the ice age lingers. Nearly 40 glaciers flow from the Harding Icefield, Kenai Fjords' crowning feature. Wildlife thrives in icy waters and lush forests around this vast expanse of ice. Sugpiaq people relied on these resources to nurture a life entwined with the sea. Today, shrinking glaciers bear witness to the effects of our changing climate.","Kenai Fjords National Park is located just outside the town of Seward in south-central Alaska, 126 miles south of Anchorage. Even though the park is often inaccessible during the winter months, Seward is accessible year-round via the Seward Highway, a National Scenic Byway. Follow the Seward Highway (AK-1) south from Anchorage. It will become AK-9 around mile 35 (87 miles from Anchorage) with AK-1 heading to Homer and Kenai. Continue on AK-9 to Seward.","411 Washington Street, , , Seward, AK, 99664"
Kenilworth Park & Aquatic Gardens,keaq,"Deep within Kenilworth lies an oasis, hidden behind trees and cattails. It's a place where beavers build their homes and turtles sleep on logs. Lotus blooms rise from the muck and lilies sit on the water. The wind dances with the dragonflies, rustling through the trees, carrying the song of the birds until it brushes across your face, fading to a whisper, saying ""come join.""",The park is located in North East Washington D.C. south of route 50 and just off the Baltimore Washington Parkway. The park is also within the D.C. Kenilworth community and the Anacostia river runs along the park boundary. Interstate 295 runs parallel to the park. The park is within half a mile from the Deanwood Metro station on the orange line. There is free parking at the park.,"1550 Anacostia Ave. NE, , , Washington, DC, 20019"
Kennesaw Mountain National Battlefield Park,kemo,"Kennesaw Mountain National Battlefield Park is a 2,965 acre National Battlefield that preserves a Civil War battleground of the Atlanta Campaign. Opposing forces maneuvered and fought here from June 19, 1864 until July 2, 1864. Although most famous as a Civil War battlefield, Kennesaw Mountain has a much richer story.","Kennesaw Mountain NBP is fairly spread out with multiple parking lots. Many visitors begin their visit at the Visitor Center located at 900 Kennesaw Mountain Dr. and orient themselves to the park with Ranger or Volunteer. For more detailed directions, please see link below.","900 Kennesaw Mountain Dr, , , Kennesaw, GA, 30152"
Keweenaw National Historical Park,kewe,"From 7,000 years ago to the 1900s people mined Keweenaw copper. Native peoples made copper into tools and trade items. Investors and immigrants arrived in the 1800s in a great mineral rush, developing thriving industries and cosmopolitan communities. Though the mines have since closed, their mark is still visible on the land and people.","Keweenaw National Historical Park is located is located on the Keweenaw Peninsula, the northernmost part of Upper Michigan.","25970 Red Jacket Road, , , Calumet, MI, 49913"
Kings Mountain National Military Park,kimo,"Thomas Jefferson called it ""The turn of the tide of success."" The battle of Kings Mountain, fought October 7th, 1780, was an important American victory during the Revolutionary War. The battle was the first major patriot victory to occur after the British invasion of Charleston, SC in May 1780. The park preserves the site of this important battle.","Kings Mountain National Military Park is located on South Carolina Highway 216. From Greenville, SC travel on I-85 North to NC Exit #2. Turn right onto Hwy 216. From Charlotte, NC travel on I- 85 South to NC Exit #2. Turn left onto Hwy 216.","2300 Park Road, , , Blacksburg, SC, 29702"
Klondike Gold Rush - Seattle Unit National Historical Park,klse,"Seattle flourished during and after the Klondike Gold Rush. Merchants supplied people from around the world passing through this port city on their way to a remarkable adventure in the Yukon Territory of Canada. Today, the park is your gateway to learn about the Klondike Gold Rush, explore the area's public lands, and engage with the local community.",The park and visitor center are located on the northwest corner of 2nd Ave South and South Jackson Street in the former Cadillac Hotel. The Pioneer Square neighborhood is serviced by several public transportation options. Visit your directions page for more information about parking.,"319 Second Ave S., , , Seattle, WA, 98104"
Klondike Gold Rush National Historical Park,klgo,"Headlines screamed ""Gold!"" The dream of a better life catapulted thousands of people to Alaska and the Yukon Territory. Their journey shaped them, and changed the people they encountered and the north forever. Today, the park remembers the trails, boomtowns, and stories of the Klondike Gold Rush.","Park headquarters and visitor center are located at 2nd and Broadway in Skagway, Alaska. To get to Skagway by car: you can access the park via the Alaska Marine Highway or the South Klondike Highway. By plane: you can fly into the Skagway Airport. By water: You can visit the park by cruise ship, tour boat, or ferry. The park visitor center is less than half a mile from all docks.","Klondike Gold Rush National Historical Park, 291 Broadway, , Skagway, AK, 99840"
Knife River Indian Villages National Historic Site,knri,"Earthlodge people hunted bison and other game, but were in essence farmers living in villages along the Missouri and its tributaries. The site was a major Native American trade center for hundreds of years prior to becoming an important market place for fur traders after 1750.","Plane Fly into Bismarck or Minot, ND. Hazen, ND (15 miles from site) has an airport for small planes. Car One-half mile north of Stanton, ND on County Road 37. One hour northwest of Bismarck, ND and one and a half hours southwest of Minot, ND. Public Transportation Charter and tour bus parking available at Visitor Center parking lot.","564 County Road 37, , , Stanton, ND, 58571"
Kobuk Valley National Park,kova,"Caribou, sand dunes, the Kobuk River, Onion Portage - just some of the facets of Kobuk Valley National Park. Half a million caribou migrate through, their tracks crisscrossing sculpted dunes. The Kobuk River is an ancient and current corridor for people and wildlife. For 9000 years, people came to Onion Portage to harvest caribou as they swam the river. Even today, that rich tradition continues.","Kobuk Valley National Park is very remote. There are no roads to provide access, so planes take care of most transportation needs. Commercial airlines provide service from Anchorage to Kotzebue, or from Fairbanks to Bettles. Once in Kotzebue or Bettles, you must fly to the park with authorized air taxis.","171 3rd Ave, , , Kotzebue, AK, 99752"
Korean War Veterans Memorial,kowa,"At the Korean War Veterans Memorial, ""Our nation honors her sons and daughters who answered the call to defend a country they never knew and a people they never met.""","GPS Coordinates: 38.887778, -77.047660 Address: 10 Daniel French Dr, SW, Washington, D.C. Nearest Intersection: Independence Ave. & Daniel Chester French Dr. SW","10 Daniel French Dr, SW, , , Washington, DC, 20002"
LBJ Memorial Grove on the Potomac,lyba,"From this distance the seat of national power appears pristine across the river, so President Johnson came here often when he needed to escape from the stresses of building a Great Society. After he died, his wife chose this place for his memorial. A landscape of serpentine paths, white pines, a granite monolith, and an open meadow honors his legacy of social justice and conservation legislation.","From the southbound lanes of the George Washington Memorial Parkway, follow the sign to turn right to enter the parking lot. This entrance to the park can only be reached from the southbound lanes of the parkway.","Lyndon Baines Johnson Memorial Grove, , , Washington, DC, "
Lake Clark National Park & Preserve,lacl,"Lake Clark National Park and Preserve is a land of stunning beauty. Volcanoes steam, salmon run, bears forage, and craggy mountains reflect in shimmering turquoise lakes. Here, too, local people and culture still depend on the land and water. Venture into the park to become part of the wilderness.","Lake Clark is located on the Alaska Peninsula southwest of Anchorage and north of Katmai National Park. It is not on the road system; therefore, in order to get here you must travel either via plane or by boat. A one to two-hour flight from Anchorage, Kenai, or Homer will provide access to most points within Lake Clark. Fixed-wing aircraft are allowed to land on all suitable lakes, rivers, beaches, gravel bars, and open ground in both the park and preserve unless the area is closed or otherwise restricted.","1 Park Place, , , Port Alsworth, AK, 99653"
Lake Mead National Recreation Area,lake,"Swim, boat, hike, cycle, camp and fish at America’s first and largest national recreation area. With striking landscapes and brilliant blue waters, this year-round playground spreads across 1.5 million acres of mountains, canyons, valleys and two vast lakes. See the Hoover Dam from the waters of Lake Mead or Lake Mohave, or find solitude in one of the park's nine wilderness areas.","By car you can drive to one of the park's many entrances. The six main entrances to Lake Mead are as follows: Northshore, Lake Mead Boulevard, Lake Mead Parkway, and Boulder, Temple Bar and Meadview. For the southern sections of the park, near Lake Mohave, there are entrance stations at Willow Beach, Katherine Landing and Cottonwood Cove.","Lake Mead Visitor Center, 10 Lakeshore Rd, , Boulder City, NV, 89005"
Lake Meredith National Recreation Area,lamr,"Within the dry plains of the Texas Panhandle lies a hidden oasis, a haven where wildlife and people find relief from the dry grasslands above. Through this plain, the Canadian River has cut dramatic 200-foot canyons, or breaks, where humans lived many years ago. Lake Meredith occupies these hidden coves and is a haven for migratory birds and other wildlife.","There are several ways to arrive at Lake Meredith. If you are coming from Amarillo, exit Loop 335 North, then exit Hwy 136 North to Fritch, Texas. Headquarters is located at 419 E. Broadway in Fritch. If coming from the North, take FM 1913 from the Dumas Highway or FM 1913 from US 287. The Amarillo Airport is approximately 35 miles south of Lake Meredith, if traveling by air. Rental cars are available in Amarillo.","419 E. Broadway, , , Fritch, TX, 79036"
Lake Roosevelt National Recreation Area,laro,"The ancient geologic landscape of the upper Columbia River cradles Lake Roosevelt in walls of stone carved by massive ice age floods. Come explore the shorelines and learn the stories of American Indians, traders and trappers, settlers and dam builders who called this place home. Swim, boat, hike, camp, and fish at this hidden gem in Northeast Washington, created by the Grand Coulee Dam.","From Spokane Take I-90 West At Exit 277, merge onto US-2 toward Davenport/Fairchild AFB/Spokane Airport Just past Wilbur, turn right onto WA-21 Stay left onto Highway 174 Turn right onto WA-155 Stay on WA-155 past Grand Coulee Dam and into the town of Coulee Dam Cross the Columbia River and continue on WA-155 Turn right onto Crest Drive and follow up the hill. The Headquarters Office is located on the left","Lake Roosevelt National Recreation Area, 1008 Crest Drive, , Coulee Dam, WA, 99116"
Lassen Volcanic National Park,lavo,"Lassen Volcanic National Park is home to steaming fumaroles, meadows freckled with wildflowers, clear mountain lakes, and numerous volcanoes. Jagged peaks tell the story of its eruptive past while hot water continues to shape the land.","From Interstate 5 (Redding), take Hwy 44 - 48 miles east to the junction of Hwy 89. Follow Hwy 89 south 1 mile to the north entrance of the park. From Interstate 5 (Red Bluff) take Hwy 36 E - 51 miles east to the junction of Hwy 89. Follow Hwy 89 north 6 miles to south entrance of the park.","38050 Highway 36 East, Park Headquarters, , Mineral, CA, 96063"
Lava Beds National Monument,labe,"Lava Beds National Monument is a land of turmoil, both geological and historical. Over the last half-million years, volcanic eruptions on the Medicine Lake shield volcano have created a rugged landscape dotted with diverse volcanic features. More than 800 caves, Native American rock art sites, historic battlefields and campsites, and a high desert wilderness experience await you!","Lava Beds is a truly remote park, in a corner of California most people never visit. Most roads into this area wind through mountains, and along rivers, and travel may take longer than expected. Services are few and far between and winter driving conditions can be encountered anytime between fall and spring.","1 Indian Well HQ, , , Tulelake, CA, 96134"
Lewis & Clark National Historic Trail,lecl,"The Lewis and Clark National Historic Trail winds nearly 4,900 miles through the homelands of more than 60 Tribal nations. It follows the historic outbound and inbound routes of the Lewis and Clark Expedition of 1803-1806 from Pittsburgh, Pennsylvania to the Pacific Ocean. Follow the trail to find the people, places, and stories that make up the complex legacy of the expedition.","Lewis & Clark National Historic Trail Headquarters Visitor Center is located inside DOI, National Park Service, Interior Region 3,4,5 Office. We are right on the Missouri River next to the Bob Kerrey Pedestrian Bridge in downtown Omaha, NE.","601 Riverfront Dr., , , Omaha, NE, 68102"
Lewis and Clark National Historical Park,lewi,Explore the timeless rainforests and majestic coastal vistas. Discover the rich heritage of the native people. Unfold the dramatic stories of America's most famous explorers. The park encompasses sites along the Columbia River and the Pacific Coast. Follow in the footsteps of the explorers and have an adventure in history.,"The main site of Fort Clatsop is located south of Astoria just over Youngs Bay, east of the town of Warrenton, and approximately 14 miles north of Seaside. Our satellite sites include: Netul Landing, located 1.25 miles south of the main Fort Clatsop site. Middle Village, located on the 101 left off the Astoria-Megler Bridge. Dismal Nitch, located on the 401 right off the Astoria-Megler Bridge. The Salt Works, located off the Lewis and Clark Way in Seaside, Oregon. Keep an eye out for brown signs.","Lewis and Clark National Historical Park, 92343 Fort Clatsop Road, , Astoria, OR, 97103"
Lincoln Boyhood National Memorial,libo,Abraham Lincoln grew from youth to manhood on this southern Indiana soil. Many character and moral traits of one of the world's most respected leaders was formed and nurtured here. Explore Lincoln's boyhood and learn about the boy who would one day become the leader of our nation.,"From the east or west - From Interstate 64, exit onto US 231, (exit 57A). Travel south on US 231 to Indiana Highway 162. Take the Santa Claus/Gentryville exit. Turn west (right) on Indiana Highway 162; go 1-1/2 miles to the park entrance on the right. From the north or south - From US 231 take the Santa Claus/Gentryville exit. Turn west on Indiana Highway 162; go 1-1/2 miles to the park entrance on the right.","3027 East South Street, , , Lincoln City, IN, 47552"
Lincoln Home National Historic Site,liho,"Abraham Lincoln believed in the ideal that everyone in America should have the opportunity to improve their economic and social condition. Lincoln’s life was the embodiment of that idea. We know him as the sixteenth president but he was also a spouse, parent, and neighbor who experienced the same hopes, dreams, and challenges of life that are still experienced by many people today.",The Visitor Center is located at 426 South Seventh Street. The 4-block Lincoln Home Neighborhood is open to pedestrians and closed to vehicles.,"426 S. 7th Street, , , Springfield, IL, 62701"
Lincoln Memorial,linc,"""...as in the hearts of the people for whom he saved the Union, the memory of Abraham Lincoln is enshrined forever."" Beneath these words, the 16th president of the United States sits immortalized in marble as an enduring symbol of unity, strength, and wisdom.","GPS Coordinates: 38.889321, -77.050166 Address: 2 Lincoln Memorial Circle, NW, Washington, D.C. Nearest Intersection: Independence Ave. SW & Daniel Chester French Dr. SW","2 Lincoln Memorial Circle, NW, , , Washington, DC, 20002"
Little Bighorn Battlefield National Monument,libi,"This area memorializes the US Army's 7th Cavalry, Crow, and Arikara scouts and the Lakotas, Cheyennes, and Arapaho in one of the American Indian's last armed efforts to preserve their way of life. Here on June 25 and 26 of 1876, 263 soldiers, including Lt. Col. George A. Custer and attached personnel of the US Army, died fighting several thousand Lakota, Cheyenne, and Arapaho warriors.","Take Interstate I-90 and exit at the Crow Agency Exit 510 at Jct. 212. To reach Little Bighorn Battlefield National Monument, turn right at the park entrance onto Battlefield Tour Road 756","756 Battlefield Tour Road, , , Crow Agency, MT, 59022"
Little River Canyon National Preserve,liri,"Little River is unique because it flows for most of its length atop Lookout Mountain in northeast Alabama. Forested uplands, waterfalls, canyon rims and bluffs, pools, boulders, and sandstone cliffs offer settings for a variety of recreational activities. Natural resources and cultural heritage come together to tell the story of the Preserve, a special place in the Southern Appalachians.","Little River Canyon National Preserve follows along the Little River and covers approximately 40 miles from the northeast corner to the southwest corner. The easiest way to access the park is by Alabama Highway 35 about 10 miles east out of Fort Payne, Alabama. Interstate 59 is the closest interstate.","4322 Little River Trail NE Ste 100, , , Fort Payne, AL, 35967"
